Val0, Val1, Val2, Val3, Val4, Val5, Val6, Val7, Val8, Val9, Val10, Val11, Val12, Val13, Val14, Val15, Score, Agent, AgentHeur, Move, Trial 
0, 4, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, N/A, N/A, RIGHT, 0
0, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, N/A, N/A, LEFT, 0
4, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, N/A, N/A, LEFT, 0
4, 0, 0, 0, 2, 0, 0, 0, 0, 4, 0, 0, 4, 0, 0, 0, 4, N/A, N/A, UP, 0
4, 4, 0, 0, 2, 0, 0, 0, 4, 0, 0, 2, 0, 0, 0, 0, 4, N/A, N/A, UP, 0
4, 4, 0, 2, 2, 0, 2, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4, N/A, N/A, RIGHT, 0
0, 0, 8, 2, 0, 0, 0, 4, 2, 0, 0, 4, 0, 0, 0, 0, 16, N/A, N/A, UP, 0
2, 0, 8, 2, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 0, 0, 24, N/A, N/A, DOWN, 0
0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 2, 2, 8, 8, 24, N/A, N/A, DOWN, 0
0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 2, 4, 8, 8, 28, N/A, N/A, DOWN, 0
2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 4, 8, 8, 28, N/A, N/A, UP, 0
4, 4, 2, 2, 0, 2, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 32, N/A, N/A, LEFT, 0
8, 4, 0, 0, 2, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 60, N/A, N/A, LEFT, 0
8, 4, 0, 0, 2, 16, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 60, N/A, N/A, RIGHT, 0
0, 0, 8, 4, 0, 2, 16, 2, 0, 0, 2, 0, 0, 0, 0, 2, 60, N/A, N/A, RIGHT, 0
0, 0, 8, 4, 2, 2, 16, 2, 0, 0, 0, 2, 0, 0, 0, 2, 60, N/A, N/A, LEFT, 0
8, 4, 0, 0, 4, 16, 2, 0, 2, 0, 0, 0, 2, 0, 2, 0, 64, N/A, N/A, LEFT, 0
8, 4, 0, 0, 4, 16, 2, 0, 2, 2, 0, 0, 4, 0, 0, 0, 68, N/A, N/A, DOWN, 0
8, 0, 0, 0, 4, 4, 2, 0, 2, 16, 0, 0, 4, 2, 2, 0, 68, N/A, N/A, UP, 0
8, 4, 4, 0, 4, 16, 0, 0, 2, 2, 0, 0, 4, 0, 0, 2, 72, N/A, N/A, DOWN, 0
8, 2, 0, 0, 4, 4, 0, 0, 2, 16, 0, 0, 4, 2, 4, 2, 72, N/A, N/A, UP, 0
8, 2, 4, 2, 4, 4, 0, 0, 2, 16, 0, 0, 4, 2, 2, 0, 72, N/A, N/A, DOWN, 0
8, 2, 0, 0, 4, 4, 2, 0, 2, 16, 4, 0, 4, 2, 2, 2, 72, N/A, N/A, LEFT, 0
8, 2, 0, 0, 8, 2, 0, 2, 2, 16, 4, 0, 4, 4, 2, 0, 84, N/A, N/A, LEFT, 0
8, 2, 0, 0, 8, 4, 0, 0, 2, 16, 4, 0, 8, 2, 0, 2, 96, N/A, N/A, DOWN, 0
0, 2, 0, 0, 16, 4, 0, 0, 2, 16, 0, 2, 8, 2, 4, 2, 112, N/A, N/A, LEFT, 0
2, 0, 0, 0, 16, 4, 2, 0, 2, 16, 2, 0, 8, 2, 4, 2, 112, N/A, N/A, DOWN, 0
2, 0, 0, 0, 16, 4, 0, 0, 2, 16, 4, 2, 8, 2, 4, 2, 116, N/A, N/A, DOWN, 0
2, 0, 0, 0, 16, 4, 0, 0, 2, 16, 0, 4, 8, 2, 8, 4, 128, N/A, N/A, DOWN, 0
2, 0, 0, 0, 16, 4, 0, 0, 2, 16, 2, 0, 8, 2, 8, 8, 136, N/A, N/A, RIGHT, 0
0, 0, 0, 2, 2, 0, 16, 4, 0, 2, 16, 2, 0, 8, 2, 16, 152, N/A, N/A, DOWN, 0
0, 0, 0, 2, 2, 0, 0, 4, 0, 2, 32, 2, 2, 8, 2, 16, 184, N/A, N/A, LEFT, 0
2, 0, 0, 0, 2, 4, 2, 0, 2, 32, 2, 0, 2, 8, 2, 16, 184, N/A, N/A, UP, 0
4, 4, 4, 16, 4, 32, 2, 0, 4, 8, 0, 0, 0, 0, 0, 0, 196, N/A, N/A, LEFT, 0
8, 4, 16, 0, 4, 32, 2, 0, 4, 8, 0, 0, 0, 2, 0, 0, 204, N/A, N/A, DOWN, 0
0, 4, 0, 0, 0, 32, 0, 0, 2, 8, 16, 0, 16, 2, 2, 0, 228, N/A, N/A, RIGHT, 0
0, 0, 0, 4, 0, 0, 0, 32, 0, 2, 8, 16, 0, 2, 16, 4, 232, N/A, N/A, UP, 0
0, 4, 8, 4, 0, 0, 16, 32, 0, 2, 0, 16, 0, 0, 0, 4, 236, N/A, N/A, DOWN, 0
0, 0, 0, 4, 0, 0, 0, 32, 0, 4, 8, 16, 2, 2, 16, 4, 236, N/A, N/A, RIGHT, 0
0, 2, 0, 4, 0, 0, 0, 32, 0, 4, 8, 16, 0, 4, 16, 4, 240, N/A, N/A, UP, 0
0, 2, 8, 4, 0, 8, 16, 32, 0, 0, 0, 16, 0, 2, 0, 4, 248, N/A, N/A, DOWN, 0
0, 0, 0, 4, 2, 2, 0, 32, 0, 8, 8, 16, 0, 2, 16, 4, 248, N/A, N/A, UP, 0
2, 2, 8, 4, 0, 8, 16, 32, 0, 2, 2, 16, 0, 0, 0, 4, 248, N/A, N/A, LEFT, 0
4, 8, 4, 0, 8, 16, 32, 0, 4, 16, 0, 2, 4, 0, 0, 0, 256, N/A, N/A, DOWN, 0
0, 0, 0, 0, 0, 0, 2, 0, 4, 8, 4, 0, 16, 32, 32, 2, 312, N/A, N/A, LEFT, 0
2, 0, 0, 0, 2, 0, 0, 0, 4, 8, 4, 0, 16, 64, 2, 0, 376, N/A, N/A, UP, 0
8, 8, 4, 0, 16, 64, 2, 0, 0, 0, 0, 0, 0, 0, 0, 4, 388, N/A, N/A, DOWN, 0
0, 0, 0, 0, 0, 2, 0, 0, 8, 8, 4, 0, 16, 64, 2, 4, 388, N/A, N/A, UP, 0
8, 2, 4, 4, 16, 8, 2, 0, 0, 64, 0, 0, 2, 0, 0, 0, 388, N/A, N/A, DOWN, 0
0, 0, 0, 0, 8, 2, 0, 2, 16, 8, 4, 0, 2, 64, 2, 4, 388, N/A, N/A, UP, 0
8, 2, 4, 2, 16, 8, 2, 4, 2, 64, 0, 2, 0, 0, 0, 0, 388, N/A, N/A, DOWN, 0
0, 0, 0, 0, 8, 2, 2, 2, 16, 8, 4, 4, 2, 64, 2, 2, 388, N/A, N/A, LEFT, 0
0, 0, 2, 0, 8, 4, 2, 0, 16, 8, 8, 0, 2, 64, 4, 0, 404, N/A, N/A, RIGHT, 0
0, 2, 0, 2, 0, 8, 4, 2, 0, 0, 0, 32, 0, 2, 64, 4, 452, N/A, N/A, UP, 0
0, 2, 4, 4, 0, 8, 64, 32, 0, 2, 0, 4, 0, 2, 0, 0, 456, N/A, N/A, RIGHT, 0
0, 2, 2, 8, 0, 8, 64, 32, 0, 0, 2, 4, 0, 0, 0, 2, 464, N/A, N/A, RIGHT, 0
2, 0, 4, 8, 0, 8, 64, 32, 0, 0, 2, 4, 0, 0, 0, 2, 468, N/A, N/A, UP, 0
2, 8, 4, 8, 0, 0, 64, 32, 0, 0, 2, 4, 2, 0, 0, 2, 468, N/A, N/A, LEFT, 0
2, 8, 4, 8, 64, 32, 0, 0, 2, 4, 0, 0, 4, 0, 2, 0, 472, N/A, N/A, RIGHT, 0
2, 8, 4, 8, 2, 0, 64, 32, 0, 0, 2, 4, 0, 0, 4, 2, 472, N/A, N/A, DOWN, 0
2, 0, 4, 8, 0, 0, 64, 32, 0, 0, 2, 4, 4, 8, 4, 2, 476, N/A, N/A, RIGHT, 0
2, 2, 4, 8, 0, 0, 64, 32, 0, 0, 2, 4, 4, 8, 4, 2, 476, N/A, N/A, RIGHT, 0
0, 4, 4, 8, 0, 2, 64, 32, 0, 0, 2, 4, 4, 8, 4, 2, 480, N/A, N/A, DOWN, 0
0, 2, 4, 8, 0, 4, 64, 32, 0, 2, 2, 4, 4, 8, 4, 2, 480, N/A, N/A, LEFT, 0
2, 4, 8, 2, 4, 64, 32, 0, 8, 0, 0, 0, 4, 8, 4, 2, 492, N/A, N/A, UP, 0
2, 4, 8, 4, 4, 64, 32, 0, 8, 8, 4, 0, 4, 0, 2, 0, 496, N/A, N/A, RIGHT, 0
2, 4, 8, 4, 0, 4, 64, 32, 0, 0, 16, 4, 0, 2, 4, 2, 512, N/A, N/A, UP, 0
2, 8, 8, 4, 2, 2, 64, 32, 0, 0, 16, 4, 0, 0, 4, 2, 520, N/A, N/A, RIGHT, 0
0, 2, 16, 4, 2, 4, 64, 32, 0, 0, 16, 4, 0, 0, 4, 2, 540, N/A, N/A, LEFT, 0
2, 16, 4, 0, 2, 4, 64, 32, 16, 4, 0, 0, 4, 2, 2, 0, 540, N/A, N/A, UP, 0
4, 16, 4, 32, 16, 8, 64, 0, 4, 2, 2, 0, 0, 2, 0, 0, 552, N/A, N/A, LEFT, 0
4, 16, 4, 32, 16, 8, 64, 2, 4, 4, 0, 0, 2, 0, 0, 0, 556, N/A, N/A, DOWN, 0
4, 0, 0, 0, 16, 16, 0, 2, 4, 8, 4, 32, 2, 4, 64, 2, 556, N/A, N/A, RIGHT, 0
0, 0, 0, 4, 2, 0, 32, 2, 4, 8, 4, 32, 2, 4, 64, 2, 588, N/A, N/A, RIGHT, 0
0, 0, 0, 4, 4, 2, 32, 2, 4, 8, 4, 32, 2, 4, 64, 2, 588, N/A, N/A, UP, 0
