Val0,Val1,Val2,Val3,Val4,Val5,Val6,Val7,Val8,Val9,Val10,Val11,Val12,Val13,Val14,Val15,Score,Time,Agent,AgentHeur,Move,Trial,RandTilePos
0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2.595586061,AscendingRowsExpectimaxAgent,N/A,DOWN,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,0,1.9871912,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,11
0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,4,4,1.996021986,AscendingRowsExpectimaxAgent,N/A,DOWN,0,10
0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,4,8,1.476101875,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,13
0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,8,16,2.045799017,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,2
0,0,0,2,0,2,0,0,0,0,0,2,0,0,2,8,16,1.856323957,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,5
0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,8,16,1.376174688,AscendingRowsExpectimaxAgent,N/A,DOWN,0,4
0,0,0,0,0,0,0,2,0,2,0,4,2,0,2,8,20,1.409044981,AscendingRowsExpectimaxAgent,N/A,DOWN,0,9
0,0,2,0,0,0,0,2,0,0,0,4,2,2,2,8,20,1.301881075,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,2
0,0,2,2,0,0,0,2,0,0,0,4,0,2,4,8,24,1.11977005,AscendingRowsExpectimaxAgent,N/A,DOWN,0,2
0,0,2,0,0,0,0,4,0,0,2,4,0,2,4,8,28,1.176265955,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,2
0,0,0,2,0,0,2,4,0,0,2,4,0,2,4,8,28,0.777034998,AscendingRowsExpectimaxAgent,N/A,DOWN,0,6
0,0,0,0,0,0,0,2,0,0,4,8,2,2,4,8,40,1.368532896,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,12
