Val0,Val1,Val2,Val3,Val4,Val5,Val6,Val7,Val8,Val9,Val10,Val11,Val12,Val13,Val14,Val15,Score,Time,Agent,AgentHeur,Move,Trial,RandTilePos
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1.671546698,FullMaxRowExpectimaxAgent,N/A,DOWN,0,9
0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,2.136233807,FullMaxRowExpectimaxAgent,N/A,RIGHT,0,5
0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,2,0,1.257757187,FullMaxRowExpectimaxAgent,N/A,DOWN,0,11
0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,1.635893106,FullMaxRowExpectimaxAgent,N/A,DOWN,0,1
0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,8,12,1.625785112,FullMaxRowExpectimaxAgent,N/A,DOWN,0,6
0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,8,12,1.28757596,FullMaxRowExpectimaxAgent,N/A,RIGHT,0,4
0,0,0,0,0,0,0,2,0,2,0,0,0,0,4,8,16,1.211447001,FullMaxRowExpectimaxAgent,N/A,RIGHT,0,9
0,0,0,0,0,0,0,2,0,2,0,2,0,0,4,8,16,1.098726273,FullMaxRowExpectimaxAgent,N/A,LEFT,0,9
0,0,0,0,2,0,0,0,4,0,0,2,4,8,0,0,20,1.108330965,FullMaxRowExpectimaxAgent,N/A,RIGHT,0,11
0,0,0,0,0,0,0,2,0,2,4,2,0,0,4,8,20,0.709127188,FullMaxRowExpectimaxAgent,N/A,DOWN,0,9
0,2,0,0,0,0,0,0,0,0,0,4,0,2,8,8,32,1.060051203,FullMaxRowExpectimaxAgent,N/A,RIGHT,0,1
0,0,2,2,0,0,0,0,0,0,0,4,0,0,2,16,48,1.098243952,FullMaxRowExpectimaxAgent,N/A,RIGHT,0,2
0,0,0,4,2,0,0,0,0,0,0,4,0,0,2,16,52,0.978037119,FullMaxRowExpectimaxAgent,N/A,DOWN,0,4
0,0,0,0,2,0,0,0,0,0,0,8,2,0,2,16,60,1.130701065,FullMaxRowExpectimaxAgent,N/A,DOWN,0,4
0,0,0,0,0,0,0,0,0,2,0,8,4,0,2,16,64,0.899775982,FullMaxRowExpectimaxAgent,N/A,RIGHT,0,9
4,0,0,0,0,0,0,0,0,0,2,8,0,4,2,16,64,0.929079056,FullMaxRowExpectimaxAgent,N/A,DOWN,0,0
0,0,4,0,0,0,0,0,0,0,0,8,4,4,4,16,68,1.003265858,FullMaxRowExpectimaxAgent,N/A,DOWN,0,2
0,4,0,0,0,0,0,0,0,0,0,8,4,4,8,16,76,0.951443195,FullMaxRowExpectimaxAgent,N/A,DOWN,0,1
0,2,0,0,0,0,0,0,0,0,0,8,4,8,8,16,84,1.031006098,FullMaxRowExpectimaxAgent,N/A,RIGHT,0,1
0,0,2,2,0,0,0,0,0,0,0,8,0,4,16,16,100,0.990592003,FullMaxRowExpectimaxAgent,N/A,DOWN,0,2
0,2,0,0,0,0,0,2,0,0,2,8,0,4,16,16,100,0.790289879,FullMaxRowExpectimaxAgent,N/A,RIGHT,0,1
0,0,0,2,0,0,2,2,0,0,2,8,0,0,4,32,132,0.849812269,FullMaxRowExpectimaxAgent,N/A,DOWN,0,6
0,0,2,0,0,0,0,4,0,0,4,8,0,0,4,32,140,0.927613974,FullMaxRowExpectimaxAgent,N/A,RIGHT,0,2
2,0,0,2,0,0,0,4,0,0,4,8,0,0,4,32,140,0.902756929,FullMaxRowExpectimaxAgent,N/A,RIGHT,0,0
0,0,0,4,0,0,0,4,0,0,4,8,0,2,4,32,144,0.857604027,FullMaxRowExpectimaxAgent,N/A,DOWN,0,13
0,2,0,0,0,0,0,8,0,0,0,8,0,2,8,32,160,0.914569855,FullMaxRowExpectimaxAgent,N/A,RIGHT,0,1
0,0,0,2,0,2,0,8,0,0,0,8,0,2,8,32,160,0.839287758,FullMaxRowExpectimaxAgent,N/A,RIGHT,0,5
0,0,0,2,0,2,2,8,0,0,0,8,0,2,8,32,160,0.817525864,FullMaxRowExpectimaxAgent,N/A,RIGHT,0,5
0,0,0,2,0,0,4,8,0,2,0,8,0,2,8,32,164,0.730103016,FullMaxRowExpectimaxAgent,N/A,RIGHT,0,9
0,2,0,2,0,0,4,8,0,0,2,8,0,2,8,32,164,0.680659056,FullMaxRowExpectimaxAgent,N/A,RIGHT,0,1
0,0,0,4,0,0,4,8,4,0,2,8,0,2,8,32,168,0.508136749,FullMaxRowExpectimaxAgent,N/A,DOWN,0,8
0,0,0,0,0,0,4,4,0,2,2,16,4,2,8,32,184,0.734407902,FullMaxRowExpectimaxAgent,N/A,DOWN,0,9
0,2,0,0,0,0,4,4,0,0,2,16,4,4,8,32,188,0.550605059,FullMaxRowExpectimaxAgent,N/A,RIGHT,0,1
0,0,0,2,2,0,0,8,0,0,2,16,0,8,8,32,204,0.702887774,FullMaxRowExpectimaxAgent,N/A,RIGHT,0,4
2,0,0,2,0,0,2,8,0,0,2,16,0,0,16,32,220,0.748784304,FullMaxRowExpectimaxAgent,N/A,RIGHT,0,0
0,0,0,4,0,0,2,8,0,0,2,16,0,4,16,32,224,0.458327055,FullMaxRowExpectimaxAgent,N/A,UP,0,13
0,4,4,4,0,0,16,8,0,0,0,16,0,2,0,32,228,0.704043865,FullMaxRowExpectimaxAgent,N/A,DOWN,0,13
0,0,0,4,0,0,0,8,2,4,4,16,0,2,16,32,228,0.592504025,FullMaxRowExpectimaxAgent,N/A,RIGHT,0,8
0,0,2,4,0,0,0,8,0,2,8,16,0,2,16,32,236,0.345335007,FullMaxRowExpectimaxAgent,N/A,UP,0,2
0,4,2,4,0,0,8,8,2,0,16,16,0,0,0,32,240,0.693578959,FullMaxRowExpectimaxAgent,N/A,RIGHT,0,8
0,4,2,4,0,0,0,16,0,0,2,32,2,0,0,32,288,0.80850482,FullMaxRowExpectimaxAgent,N/A,DOWN,0,12
0,0,0,0,0,4,0,4,0,0,0,16,2,4,4,64,356,0.896016836,FullMaxRowExpectimaxAgent,N/A,DOWN,0,5
0,0,2,0,0,0,0,4,0,0,0,16,2,8,4,64,364,0.665141106,FullMaxRowExpectimaxAgent,N/A,RIGHT,0,2
0,0,0,2,0,0,0,4,0,4,0,16,2,8,4,64,364,0.446531773,FullMaxRowExpectimaxAgent,N/A,RIGHT,0,9
0,0,0,2,0,0,0,4,0,2,4,16,2,8,4,64,364,0.49371314,FullMaxRowExpectimaxAgent,N/A,DOWN,0,9
0,0,0,2,0,0,0,4,0,2,2,16,2,8,8,64,372,0.557219028,FullMaxRowExpectimaxAgent,N/A,RIGHT,0,10
0,0,0,2,0,0,0,4,0,0,4,16,2,2,16,64,392,0.508036137,FullMaxRowExpectimaxAgent,N/A,UP,0,12
2,2,4,2,0,0,16,4,2,0,0,16,0,0,0,64,392,0.59467268,FullMaxRowExpectimaxAgent,N/A,DOWN,0,8
0,0,0,2,0,2,0,4,0,0,4,16,4,2,16,64,396,0.559861898,FullMaxRowExpectimaxAgent,N/A,DOWN,0,5
0,0,0,2,0,0,0,4,2,0,4,16,4,4,16,64,400,0.337708235,FullMaxRowExpectimaxAgent,N/A,LEFT,0,8
