Val0,Val1,Val2,Val3,Val4,Val5,Val6,Val7,Val8,Val9,Val10,Val11,Val12,Val13,Val14,Val15,Score,Time,Agent,AgentHeur,Move,Trial,RandTilePos
0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2.595586061477661,AscendingRowsExpectimaxAgent,N/A,DOWN,0,3
0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,0,1.9871912002563477,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,11
0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,4,4,1.9960219860076904,AscendingRowsExpectimaxAgent,N/A,DOWN,0,10
0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,4,8,1.4761018753051758,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,13
0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,8,16,2.0457990169525146,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,2
0,0,0,2,0,2,0,0,0,0,0,2,0,0,2,8,16,1.8563239574432373,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,5
0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,8,16,1.3761746883392334,AscendingRowsExpectimaxAgent,N/A,DOWN,0,4
0,0,0,0,0,0,0,2,0,2,0,4,2,0,2,8,20,1.4090449810028076,AscendingRowsExpectimaxAgent,N/A,DOWN,0,9
0,0,2,0,0,0,0,2,0,0,0,4,2,2,2,8,20,1.3018810749053955,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,2
0,0,2,2,0,0,0,2,0,0,0,4,0,2,4,8,24,1.1197700500488281,AscendingRowsExpectimaxAgent,N/A,DOWN,0,2
0,0,2,0,0,0,0,4,0,0,2,4,0,2,4,8,28,1.1762659549713135,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,2
0,0,0,2,0,0,2,4,0,0,2,4,0,2,4,8,28,0.7770349979400635,AscendingRowsExpectimaxAgent,N/A,DOWN,0,6
0,0,0,0,0,0,0,2,0,0,4,8,2,2,4,8,40,1.3685328960418701,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,12
0,0,0,0,2,0,0,2,0,0,4,8,0,4,4,8,44,1.7097790241241455,AscendingRowsExpectimaxAgent,N/A,DOWN,0,4
0,0,2,0,0,0,0,0,0,0,0,2,2,4,8,16,68,1.28684401512146,AscendingRowsExpectimaxAgent,N/A,DOWN,0,2
0,0,0,2,0,0,0,0,0,0,2,2,2,4,8,16,68,1.2174668312072754,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,3
0,0,2,2,0,0,0,0,0,0,0,4,2,4,8,16,72,1.138819932937622,AscendingRowsExpectimaxAgent,N/A,DOWN,0,2
0,0,0,0,2,0,0,2,0,0,2,4,2,4,8,16,72,1.2194039821624756,AscendingRowsExpectimaxAgent,N/A,DOWN,0,4
2,0,0,0,0,0,0,2,0,0,2,4,4,4,8,16,76,0.9664759635925293,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,0
0,0,0,2,0,0,0,2,0,2,2,4,0,8,8,16,84,1.328481912612915,AscendingRowsExpectimaxAgent,N/A,DOWN,0,9
0,0,0,0,2,0,0,4,0,2,2,4,0,8,8,16,88,1.3912620544433594,AscendingRowsExpectimaxAgent,N/A,DOWN,0,4
0,0,0,0,0,2,0,0,0,2,2,8,2,8,8,16,96,1.2233312129974365,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,5
0,0,0,0,0,0,0,2,0,2,4,8,0,2,16,16,116,1.2312767505645752,AscendingRowsExpectimaxAgent,N/A,DOWN,0,9
0,0,0,0,0,0,2,2,0,0,4,8,0,4,16,16,120,0.9829380512237549,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,6
0,0,0,0,0,2,0,4,0,0,4,8,0,0,4,32,156,1.259596824645996,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,5
0,0,0,0,4,0,2,4,0,0,4,8,0,0,4,32,156,1.0884082317352295,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,4
0,2,0,0,0,4,2,4,0,0,4,8,0,0,4,32,156,0.890556812286377,AscendingRowsExpectimaxAgent,N/A,DOWN,0,1
2,0,0,0,0,0,0,4,0,2,2,8,0,4,8,32,164,0.8554320335388184,AscendingRowsExpectimaxAgent,N/A,DOWN,0,0
0,0,0,0,0,2,0,4,0,2,2,8,2,4,8,32,164,0.742271900177002,AscendingRowsExpectimaxAgent,N/A,DOWN,0,5
0,0,0,0,2,0,0,4,0,4,2,8,2,4,8,32,168,0.7438900470733643,AscendingRowsExpectimaxAgent,N/A,DOWN,0,4
0,0,0,0,0,0,2,4,0,0,2,8,4,8,8,32,180,0.93007493019104,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,6
0,4,0,0,0,0,2,4,0,0,2,8,0,4,16,32,196,0.9579861164093018,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,1
0,0,0,4,0,0,2,4,0,0,2,8,2,4,16,32,196,0.7621240615844727,AscendingRowsExpectimaxAgent,N/A,DOWN,0,12
0,0,0,0,2,0,0,8,0,0,4,8,2,4,16,32,208,1.0813651084899902,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,4
2,0,0,0,0,0,2,8,0,0,4,8,2,4,16,32,208,0.858069896697998,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,0
0,0,0,2,0,4,2,8,0,0,4,8,2,4,16,32,208,0.4620339870452881,AscendingRowsExpectimaxAgent,N/A,DOWN,0,5
0,0,0,0,2,0,2,2,0,0,4,16,2,8,16,32,232,0.7308359146118164,AscendingRowsExpectimaxAgent,N/A,DOWN,0,4
0,0,0,2,0,0,2,2,0,0,4,16,4,8,16,32,236,0.7495670318603516,AscendingRowsExpectimaxAgent,N/A,LEFT,0,3
2,0,0,0,4,0,0,0,4,16,0,2,4,8,16,32,240,0.714771032333374,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,11
0,2,0,2,0,0,0,4,0,4,16,2,4,8,16,32,240,0.6439659595489502,AscendingRowsExpectimaxAgent,N/A,DOWN,0,1
0,0,0,2,0,2,0,4,0,4,2,2,4,8,32,32,272,0.6511290073394775,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,10
0,2,0,2,0,0,2,4,0,0,4,4,0,4,8,64,340,0.7873880863189697,AscendingRowsExpectimaxAgent,N/A,DOWN,0,1
0,0,0,0,2,0,2,2,0,2,4,8,0,4,8,64,348,0.5965440273284912,AscendingRowsExpectimaxAgent,N/A,DOWN,0,4
2,0,0,0,0,0,2,2,0,2,4,8,2,4,8,64,348,0.5927319526672363,AscendingRowsExpectimaxAgent,N/A,DOWN,0,0
0,0,0,2,0,0,2,2,0,2,4,8,4,4,8,64,352,0.6534149646759033,AscendingRowsExpectimaxAgent,N/A,DOWN,0,3
0,2,0,0,0,0,2,4,0,2,4,8,4,4,8,64,356,0.6621177196502686,AscendingRowsExpectimaxAgent,N/A,DOWN,0,1
0,2,0,0,0,0,2,4,0,4,4,8,4,4,8,64,360,0.795922040939331,AscendingRowsExpectimaxAgent,N/A,DOWN,0,1
2,0,0,0,0,0,2,4,0,2,4,8,4,8,8,64,368,0.4679830074310303,AscendingRowsExpectimaxAgent,N/A,DOWN,0,0
0,0,0,0,4,0,2,4,2,2,4,8,4,8,8,64,368,0.37786006927490234,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,4
0,0,0,0,0,4,2,4,0,4,4,8,4,4,16,64,388,0.6627929210662842,AscendingRowsExpectimaxAgent,N/A,DOWN,0,12
0,0,0,0,0,0,2,4,2,4,4,8,4,8,16,64,396,0.38843393325805664,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,8
2,0,0,0,0,0,2,4,0,2,8,8,4,8,16,64,404,0.48140788078308105,AscendingRowsExpectimaxAgent,N/A,DOWN,0,0
0,0,2,0,0,0,2,4,2,2,8,8,4,8,16,64,404,0.4853379726409912,AscendingRowsExpectimaxAgent,N/A,DOWN,0,2
0,0,0,2,0,0,4,4,2,2,8,8,4,8,16,64,408,0.39899516105651855,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,3
4,0,0,2,0,0,0,8,0,0,4,16,4,8,16,64,436,0.6442229747772217,AscendingRowsExpectimaxAgent,N/A,DOWN,0,0
0,0,0,2,0,0,2,8,0,0,4,16,8,8,16,64,444,0.5495262145996094,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,6
0,2,0,2,0,0,2,8,0,0,4,16,0,16,16,64,460,0.650270938873291,AscendingRowsExpectimaxAgent,N/A,DOWN,0,1
2,0,0,2,0,0,2,8,0,2,4,16,0,16,16,64,460,0.5474390983581543,AscendingRowsExpectimaxAgent,N/A,DOWN,0,0
0,0,0,2,2,0,2,8,0,2,4,16,2,16,16,64,460,0.4917769432067871,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,4
0,2,0,2,0,0,4,8,0,2,4,16,0,2,32,64,496,0.5683729648590088,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,1
0,0,0,4,0,2,4,8,0,2,4,16,0,2,32,64,500,0.4202289581298828,AscendingRowsExpectimaxAgent,N/A,UP,0,5
0,4,8,4,0,2,32,8,0,2,0,16,0,0,0,64,512,0.6153738498687744,AscendingRowsExpectimaxAgent,N/A,DOWN,0,9
0,0,0,4,0,0,0,8,2,4,8,16,0,4,32,64,516,0.4542059898376465,AscendingRowsExpectimaxAgent,N/A,UP,0,8
2,8,8,4,0,0,32,8,0,0,0,16,2,0,0,64,524,0.709388017654419,AscendingRowsExpectimaxAgent,N/A,UP,0,12
4,8,8,4,2,0,32,8,0,0,0,16,0,0,0,64,528,0.4281022548675537,AscendingRowsExpectimaxAgent,N/A,DOWN,0,4
2,0,0,4,0,0,0,8,4,0,8,16,2,8,32,64,528,0.37059712409973145,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,0
0,2,2,4,0,0,0,8,0,4,8,16,2,8,32,64,528,0.3903169631958008,AscendingRowsExpectimaxAgent,N/A,DOWN,0,1
2,0,0,4,0,2,2,8,0,4,8,16,2,8,32,64,528,0.2830321788787842,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,0
0,0,2,4,0,2,4,8,0,4,8,16,2,8,32,64,532,0.10776591300964355,AscendingRowsExpectimaxAgent,N/A,UP,0,5
2,2,2,4,0,4,4,8,2,8,8,16,0,0,32,64,532,0.35496997833251953,AscendingRowsExpectimaxAgent,N/A,DOWN,0,8
0,0,2,4,2,2,4,8,0,4,8,16,4,8,32,64,536,0.1806049346923828,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,4
0,2,2,4,0,4,4,8,0,4,8,16,4,8,32,64,540,0.31264591217041016,AscendingRowsExpectimaxAgent,N/A,DOWN,0,1
0,0,2,4,2,2,4,8,0,8,8,16,4,8,32,64,548,0.274752140045166,AscendingRowsExpectimaxAgent,N/A,DOWN,0,4
0,0,2,4,4,0,4,8,2,2,8,16,4,16,32,64,564,0.19769024848937988,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,4
0,2,2,4,0,0,8,8,0,4,8,16,4,16,32,64,576,0.3647470474243164,AscendingRowsExpectimaxAgent,N/A,DOWN,0,1
0,0,0,4,2,2,2,8,0,4,16,16,4,16,32,64,592,0.36286187171936035,AscendingRowsExpectimaxAgent,N/A,DOWN,0,4
2,0,0,4,0,2,2,8,2,4,16,16,4,16,32,64,592,0.3767271041870117,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,0
0,2,2,4,0,0,4,8,0,2,4,32,4,16,32,64,628,0.39395618438720703,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,1
0,0,4,4,2,0,4,8,0,2,4,32,4,16,32,64,632,0.3355138301849365,AscendingRowsExpectimaxAgent,N/A,DOWN,0,4
0,0,0,4,4,0,4,8,2,2,8,32,4,16,32,64,640,0.37578296661376953,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,4
0,0,0,4,2,0,8,8,0,4,8,32,4,16,32,64,652,0.3837459087371826,AscendingRowsExpectimaxAgent,N/A,DOWN,0,4
0,0,0,4,2,0,0,8,2,4,16,32,4,16,32,64,668,0.3970959186553955,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,4
2,0,0,4,0,0,2,8,2,4,16,32,4,16,32,64,668,0.2834920883178711,AscendingRowsExpectimaxAgent,N/A,DOWN,0,0
2,0,0,4,0,0,2,8,4,4,16,32,4,16,32,64,672,0.2908439636230469,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,0
0,2,2,4,0,0,2,8,0,8,16,32,4,16,32,64,680,0.3263680934906006,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,1
2,0,4,4,0,0,2,8,0,8,16,32,4,16,32,64,684,0.30695509910583496,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,0
2,0,2,8,0,0,2,8,0,8,16,32,4,16,32,64,692,0.37009406089782715,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,0
0,0,4,8,0,0,2,8,2,8,16,32,4,16,32,64,696,0.22321295738220215,AscendingRowsExpectimaxAgent,N/A,DOWN,0,8
0,0,4,2,0,0,2,16,2,8,16,32,4,16,32,64,712,0.08313298225402832,AscendingRowsExpectimaxAgent,N/A,LEFT,0,3
4,2,0,2,2,16,0,0,2,8,16,32,4,16,32,64,712,0.22107577323913574,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,3
0,0,4,4,0,2,2,16,2,8,16,32,4,16,32,64,716,0.1670529842376709,AscendingRowsExpectimaxAgent,N/A,UP,0,5
2,2,4,4,4,8,2,16,2,16,16,32,0,0,32,64,716,0.18175601959228516,AscendingRowsExpectimaxAgent,N/A,DOWN,0,8
0,2,4,4,2,2,2,16,4,8,16,32,2,16,32,64,716,0.07425618171691895,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,1
2,0,2,8,0,2,4,16,4,8,16,32,2,16,32,64,728,0.08509707450866699,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,0
0,2,4,8,0,2,4,16,4,8,16,32,2,16,32,64,732,0.12537908554077148,AscendingRowsExpectimaxAgent,N/A,UP,0,1
4,4,8,8,2,8,16,16,0,16,32,32,2,0,0,64,744,0.427365779876709,AscendingRowsExpectimaxAgent,N/A,DOWN,0,12
0,2,0,8,0,4,8,16,4,8,16,32,4,16,32,64,748,0.15053200721740723,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,1
2,0,2,8,0,4,8,16,4,8,16,32,4,16,32,64,748,0.11353015899658203,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,0
2,0,4,8,0,4,8,16,4,8,16,32,4,16,32,64,752,0.08787989616394043,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,0
2,2,4,8,0,4,8,16,4,8,16,32,4,16,32,64,752,0.06374621391296387,AscendingRowsExpectimaxAgent,N/A,DOWN,0,0
4,2,4,8,0,4,8,16,2,8,16,32,8,16,32,64,760,0.014780998229980469,AscendingRowsExpectimaxAgent,N/A,DOWN,0,0
2,2,4,8,4,4,8,16,2,8,16,32,8,16,32,64,760,0.04822993278503418,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,0
2,4,4,8,0,8,8,16,2,8,16,32,8,16,32,64,772,0.13532423973083496,AscendingRowsExpectimaxAgent,N/A,DOWN,0,0
2,0,4,8,0,4,8,16,4,16,16,32,8,16,32,64,792,0.12313413619995117,AscendingRowsExpectimaxAgent,N/A,DOWN,0,0
2,0,4,8,2,0,8,16,4,4,16,32,8,32,32,64,824,0.21161293983459473,AscendingRowsExpectimaxAgent,N/A,DOWN,0,0
0,0,4,8,4,2,8,16,4,4,16,32,8,32,32,64,828,0.18499493598937988,AscendingRowsExpectimaxAgent,N/A,DOWN,0,5
0,2,4,8,0,2,8,16,8,4,16,32,8,32,32,64,836,0.20039105415344238,AscendingRowsExpectimaxAgent,N/A,DOWN,0,1
0,2,4,8,0,4,8,16,0,4,16,32,16,32,32,64,856,0.22736716270446777,AscendingRowsExpectimaxAgent,N/A,DOWN,0,1
0,0,4,8,2,2,8,16,0,8,16,32,16,32,32,64,864,0.3047139644622803,AscendingRowsExpectimaxAgent,N/A,DOWN,0,4
0,4,4,8,0,2,8,16,2,8,16,32,16,32,32,64,864,0.2123112678527832,AscendingRowsExpectimaxAgent,N/A,RIGHT,0,1
0,0,8,8,0,2,8,16,2,8,16,32,2,16,64,64,936,0.4489121437072754,AscendingRowsExpectimaxAgent,N/A,DOWN,0,12
