Val0,Val1,Val2,Val3,Val4,Val5,Val6,Val7,Val8,Val9,Val10,Val11,Val12,Val13,Val14,Val15,Score,Time,Agent,AgentHeur,Move,Trial,RandTilePos
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1.2733440399169922,MaxTileCornerExpectimaxAgent,N/A,UP,0,15
0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1.3466212749481201,MaxTileCornerExpectimaxAgent,N/A,LEFT,0,14
4,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,4,1.0825068950653076,MaxTileCornerExpectimaxAgent,N/A,LEFT,0,5
4,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,4,1.1286137104034424,MaxTileCornerExpectimaxAgent,N/A,UP,0,15
4,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,8,1.220207691192627,MaxTileCornerExpectimaxAgent,N/A,LEFT,0,1
4,4,0,0,4,0,0,0,0,0,0,0,2,0,0,0,12,1.1964757442474365,MaxTileCornerExpectimaxAgent,N/A,LEFT,0,12
8,0,0,0,4,0,0,0,0,2,0,0,2,0,0,0,20,0.9433650970458984,MaxTileCornerExpectimaxAgent,N/A,LEFT,0,9
8,0,0,0,4,0,0,0,2,2,0,0,2,0,0,0,20,0.987677812576294,MaxTileCornerExpectimaxAgent,N/A,UP,0,9
8,2,0,0,4,0,0,0,4,0,0,0,0,0,2,0,24,0.9277207851409912,MaxTileCornerExpectimaxAgent,N/A,UP,0,14
8,2,2,0,8,0,0,0,0,0,0,0,2,0,0,0,32,0.8820688724517822,MaxTileCornerExpectimaxAgent,N/A,UP,0,12
16,2,2,0,2,0,0,0,0,0,0,0,2,0,0,0,48,0.9395997524261475,MaxTileCornerExpectimaxAgent,N/A,UP,0,12
16,2,2,0,4,0,0,0,0,0,2,0,0,0,0,0,52,0.9131183624267578,MaxTileCornerExpectimaxAgent,N/A,UP,0,10
16,2,4,0,4,0,0,0,2,0,0,0,0,0,0,0,56,0.3876199722290039,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,8
0,16,2,4,2,0,0,4,0,0,0,2,0,0,0,0,56,0.7011599540710449,MaxTileCornerExpectimaxAgent,N/A,LEFT,0,4
16,2,4,0,2,4,0,2,2,0,0,0,0,0,0,0,56,0.5921800136566162,MaxTileCornerExpectimaxAgent,N/A,UP,0,7
16,2,4,2,4,4,0,0,2,0,0,0,0,0,0,0,60,0.4506409168243408,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,8
16,2,4,2,0,0,0,8,0,0,2,2,0,0,0,0,68,0.5251941680908203,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,10
16,2,4,2,0,0,2,8,0,0,0,4,0,0,0,0,72,0.26569581031799316,MaxTileCornerExpectimaxAgent,N/A,LEFT,0,6
16,2,4,2,2,8,0,0,4,0,0,0,0,2,0,0,72,0.41686105728149414,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,13
16,2,4,2,2,0,2,8,0,0,0,4,0,0,0,2,72,0.33264684677124023,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,4
16,2,4,2,0,0,4,8,0,0,2,4,0,0,0,2,76,0.32126402854919434,MaxTileCornerExpectimaxAgent,N/A,UP,0,10
16,2,8,2,0,0,2,8,0,0,0,4,0,2,0,2,84,0.4669921398162842,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,13
16,2,8,2,0,0,2,8,0,0,0,4,0,2,0,4,88,0.48453783988952637,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,13
16,2,8,2,0,0,2,8,2,0,0,4,0,0,2,4,88,0.38623714447021484,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,8
16,2,8,2,2,0,2,8,0,0,2,4,0,0,2,4,88,0.3604302406311035,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,4
16,2,8,2,0,0,4,8,2,0,2,4,0,0,2,4,92,0.3665919303894043,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,8
16,2,8,2,0,0,4,8,2,0,4,4,0,0,2,4,96,0.3477451801300049,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,8
16,2,8,2,0,0,4,8,0,0,2,8,0,2,2,4,104,0.4189629554748535,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,13
16,2,8,2,0,2,4,8,0,0,2,8,0,0,4,4,108,0.2794840335845947,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,5
16,2,8,2,0,2,4,8,0,0,2,8,0,2,0,8,116,0.2374095916748047,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,13
16,2,8,2,0,2,4,8,2,0,2,8,0,0,2,8,116,0.279278039932251,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,8
16,2,8,2,0,2,4,8,2,0,4,8,0,0,2,8,120,0.2420368194580078,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,8
16,2,8,2,2,2,4,8,0,2,4,8,0,0,2,8,120,0.20704078674316406,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,4
16,2,8,2,2,4,4,8,0,2,4,8,0,0,2,8,124,0.17760682106018066,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,4
16,2,8,2,0,2,8,8,0,2,4,8,0,2,2,8,132,0.2840869426727295,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,13
16,2,8,2,0,0,2,16,2,2,4,8,0,0,4,8,152,0.2770400047302246,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,8
16,2,8,2,2,0,2,16,0,4,4,8,0,0,4,8,156,0.2645876407623291,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,4
16,2,8,2,0,0,4,16,0,0,8,8,0,2,4,8,168,0.29595184326171875,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,13
16,2,8,2,0,0,4,16,0,0,2,16,0,2,4,8,184,0.20055913925170898,MaxTileCornerExpectimaxAgent,N/A,LEFT,0,10
16,2,8,2,4,16,0,0,2,16,2,0,2,4,8,0,184,0.17144393920898438,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,10
16,2,8,2,2,0,4,16,0,2,16,2,0,2,4,8,184,0.09322071075439453,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,4
16,2,8,2,2,2,4,16,0,2,16,2,0,2,4,8,184,0.10612893104553223,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,4
16,2,8,2,2,4,4,16,0,2,16,2,0,2,4,8,188,0.07845211029052734,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,4
16,2,8,2,0,2,8,16,0,2,16,2,2,2,4,8,196,0.15219497680664062,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,12
16,2,8,2,0,2,8,16,0,2,16,2,2,4,4,8,200,0.1355900764465332,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,12
16,2,8,2,0,2,8,16,0,2,16,2,2,2,8,8,208,0.1729421615600586,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,12
16,2,8,2,0,2,8,16,2,2,16,2,0,0,4,16,228,0.16539430618286133,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,8
16,2,8,2,0,2,8,16,0,4,16,2,0,2,4,16,232,0.12160682678222656,MaxTileCornerExpectimaxAgent,N/A,LEFT,0,13
16,2,8,2,2,8,16,0,4,16,2,2,2,4,16,0,232,0.05990767478942871,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,11
