Val0,Val1,Val2,Val3,Val4,Val5,Val6,Val7,Val8,Val9,Val10,Val11,Val12,Val13,Val14,Val15,Score,Time,Agent,AgentHeur,Move,Trial,RandTilePos
0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,2.233273983001709,WeightedExpectimaxAgent,N/A,DOWN,0,11
0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,4,4,2.282575845718384,WeightedExpectimaxAgent,N/A,DOWN,0,2
0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,4,4,1.6982557773590088,WeightedExpectimaxAgent,N/A,RIGHT,0,11
0,2,0,0,0,0,0,0,0,0,0,2,0,0,4,4,8,2.067678928375244,WeightedExpectimaxAgent,N/A,RIGHT,0,1
0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,8,16,2.3071699142456055,WeightedExpectimaxAgent,N/A,DOWN,0,9
0,0,0,0,2,0,0,0,0,0,0,4,0,2,0,8,20,1.9048008918762207,WeightedExpectimaxAgent,N/A,DOWN,0,4
0,0,0,0,0,0,2,0,0,0,0,4,2,2,0,8,20,1.883754014968872,WeightedExpectimaxAgent,N/A,LEFT,0,6
0,0,0,0,2,0,0,0,4,0,0,0,4,8,2,0,24,1.3418769836425781,WeightedExpectimaxAgent,N/A,DOWN,0,14
0,0,0,0,0,0,0,2,2,0,0,0,8,8,2,0,32,1.8797168731689453,WeightedExpectimaxAgent,N/A,RIGHT,0,7
0,0,0,0,0,2,0,2,0,0,0,2,0,0,16,2,48,2.2903671264648438,WeightedExpectimaxAgent,N/A,RIGHT,0,5
0,0,0,0,0,2,0,4,0,0,0,2,0,0,16,2,52,2.3445048332214355,WeightedExpectimaxAgent,N/A,DOWN,0,5
0,0,0,2,0,0,0,0,0,0,0,4,0,2,16,4,56,1.2636659145355225,WeightedExpectimaxAgent,N/A,DOWN,0,3
0,0,0,0,0,0,0,0,0,0,2,2,0,2,16,8,64,1.3166172504425049,WeightedExpectimaxAgent,N/A,RIGHT,0,10
0,0,2,0,0,0,0,0,0,0,0,4,0,2,16,8,68,1.8520851135253906,WeightedExpectimaxAgent,N/A,DOWN,0,2
2,0,0,0,0,0,0,0,0,0,2,4,0,2,16,8,68,1.4834659099578857,WeightedExpectimaxAgent,N/A,DOWN,0,0
0,0,0,0,0,0,2,0,0,0,2,4,2,2,16,8,68,1.6334216594696045,WeightedExpectimaxAgent,N/A,DOWN,0,6
0,0,0,2,0,0,0,0,0,0,4,4,2,2,16,8,72,1.3005030155181885,WeightedExpectimaxAgent,N/A,RIGHT,0,3
0,0,0,2,0,0,0,0,0,0,0,8,2,4,16,8,84,1.0637900829315186,WeightedExpectimaxAgent,N/A,DOWN,0,12
0,2,0,0,0,0,0,0,0,0,0,2,2,4,16,16,100,1.436734914779663,WeightedExpectimaxAgent,N/A,RIGHT,0,1
0,0,0,2,0,0,4,0,0,0,0,2,0,2,4,32,132,1.4737000465393066,WeightedExpectimaxAgent,N/A,DOWN,0,6
0,0,0,0,0,0,0,0,0,0,2,4,0,2,8,32,144,0.7627866268157959,WeightedExpectimaxAgent,N/A,LEFT,0,10
0,0,0,0,0,0,0,0,2,4,2,0,2,8,32,0,144,1.0894510746002197,WeightedExpectimaxAgent,N/A,RIGHT,0,10
0,0,0,0,0,0,0,0,0,2,4,2,2,2,8,32,144,1.2653400897979736,WeightedExpectimaxAgent,N/A,RIGHT,0,12
0,0,0,0,0,2,0,0,0,2,4,2,0,4,8,32,148,1.2464518547058105,WeightedExpectimaxAgent,N/A,DOWN,0,5
0,0,0,0,0,4,0,0,0,4,4,2,0,4,8,32,152,1.1891319751739502,WeightedExpectimaxAgent,N/A,DOWN,0,5
0,0,0,0,0,0,0,0,2,4,4,2,0,8,8,32,160,1.2488150596618652,WeightedExpectimaxAgent,N/A,RIGHT,0,8
0,0,0,0,0,0,0,0,0,2,8,2,0,2,16,32,184,1.0385169982910156,WeightedExpectimaxAgent,N/A,DOWN,0,13
0,0,0,0,0,2,0,0,0,0,8,2,0,4,16,32,188,1.172102928161621,WeightedExpectimaxAgent,N/A,RIGHT,0,5
0,0,0,0,0,0,0,2,0,0,8,2,2,4,16,32,188,0.8959779739379883,WeightedExpectimaxAgent,N/A,DOWN,0,12
0,0,0,2,0,0,0,0,0,0,8,4,2,4,16,32,192,0.78448486328125,WeightedExpectimaxAgent,N/A,DOWN,0,3
0,0,2,0,0,0,0,2,0,0,8,4,2,4,16,32,192,0.9090638160705566,WeightedExpectimaxAgent,N/A,RIGHT,0,2
0,0,0,2,0,0,0,2,2,0,8,4,2,4,16,32,192,1.0860722064971924,WeightedExpectimaxAgent,N/A,DOWN,0,8
0,0,0,0,0,2,0,4,0,0,8,4,4,4,16,32,200,1.31284499168396,WeightedExpectimaxAgent,N/A,DOWN,0,5
0,0,0,0,4,0,0,0,0,2,8,8,4,4,16,32,208,1.1679871082305908,WeightedExpectimaxAgent,N/A,LEFT,0,4
0,0,0,0,4,0,2,0,2,16,0,0,8,16,32,0,232,1.2331218719482422,WeightedExpectimaxAgent,N/A,DOWN,0,6
0,0,0,0,4,0,2,0,2,0,2,0,8,32,32,0,264,1.4412829875946045,WeightedExpectimaxAgent,N/A,DOWN,0,6
2,0,0,0,4,0,0,0,2,0,4,0,8,32,32,0,268,0.8796358108520508,WeightedExpectimaxAgent,N/A,RIGHT,0,0
0,0,0,2,0,0,0,4,0,0,2,4,2,0,8,64,332,1.275007963180542,WeightedExpectimaxAgent,N/A,DOWN,0,12
0,0,0,0,0,2,0,2,0,0,2,8,2,0,8,64,340,1.1828229427337646,WeightedExpectimaxAgent,N/A,DOWN,0,5
0,2,0,0,0,0,0,2,0,0,2,8,2,2,8,64,340,1.0607459545135498,WeightedExpectimaxAgent,N/A,RIGHT,0,1
0,0,0,2,2,0,0,2,0,0,2,8,0,4,8,64,344,1.0123589038848877,WeightedExpectimaxAgent,N/A,RIGHT,0,4
0,0,0,2,0,0,0,4,2,0,2,8,0,4,8,64,348,0.9377789497375488,WeightedExpectimaxAgent,N/A,LEFT,0,8
2,0,0,0,4,0,0,0,4,8,0,2,4,8,64,0,352,1.0677001476287842,WeightedExpectimaxAgent,N/A,RIGHT,0,11
0,0,2,2,0,0,0,4,0,4,8,2,0,4,8,64,352,1.0941028594970703,WeightedExpectimaxAgent,N/A,DOWN,0,2
0,0,2,2,0,0,0,4,0,0,2,2,0,8,16,64,376,1.097566843032837,WeightedExpectimaxAgent,N/A,RIGHT,0,2
0,0,0,4,0,2,0,4,0,0,0,4,0,8,16,64,384,1.1114706993103027,WeightedExpectimaxAgent,N/A,DOWN,0,5
0,0,0,0,0,0,2,4,0,2,0,8,0,8,16,64,392,1.04295015335083,WeightedExpectimaxAgent,N/A,DOWN,0,6
0,0,0,0,0,0,0,4,4,2,2,8,0,8,16,64,392,0.9667179584503174,WeightedExpectimaxAgent,N/A,RIGHT,0,8
0,0,2,0,0,0,0,4,0,4,4,8,0,8,16,64,396,0.9203519821166992,WeightedExpectimaxAgent,N/A,RIGHT,0,2
0,0,0,2,0,0,2,4,0,0,8,8,0,8,16,64,404,0.7115452289581299,WeightedExpectimaxAgent,N/A,RIGHT,0,6
0,0,0,2,0,0,2,4,2,0,0,16,0,8,16,64,420,0.858924150466919,WeightedExpectimaxAgent,N/A,LEFT,0,8
