Val0,Val1,Val2,Val3,Val4,Val5,Val6,Val7,Val8,Val9,Val10,Val11,Val12,Val13,Val14,Val15,Score,Time,Agent,AgentHeur,Move,Trial,RandTilePos
0,0,0,0,0,0,0,0,0,2,2,0,0,0,4,0,0,5.300024032592773,WeightedExpectimaxAgent,N/A,RIGHT,0,9
0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,4,4,5.383733034133911,WeightedExpectimaxAgent,N/A,DOWN,0,12
0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,8,12,3.9001238346099854,WeightedExpectimaxAgent,N/A,RIGHT,0,14
0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,8,16,4.5339531898498535,WeightedExpectimaxAgent,N/A,RIGHT,0,5
0,0,0,0,0,0,0,2,0,2,0,0,0,0,4,8,16,3.8011460304260254,WeightedExpectimaxAgent,N/A,RIGHT,0,9
4,0,0,0,0,0,0,2,0,0,0,2,0,0,4,8,16,3.698791265487671,WeightedExpectimaxAgent,N/A,DOWN,0,0
0,0,0,0,2,0,0,0,0,0,0,4,4,0,4,8,20,3.257652997970581,WeightedExpectimaxAgent,N/A,RIGHT,0,4
0,0,0,2,0,0,0,2,0,0,0,4,0,0,8,8,28,3.537501096725464,WeightedExpectimaxAgent,N/A,DOWN,0,3
0,0,0,4,0,0,0,4,0,0,0,4,0,0,8,8,32,3.761958122253418,WeightedExpectimaxAgent,N/A,DOWN,0,3
0,0,0,0,0,2,0,4,0,0,0,8,0,0,8,8,40,3.5866739749908447,WeightedExpectimaxAgent,N/A,RIGHT,0,5
0,0,0,4,0,0,2,4,0,0,0,8,0,0,0,16,56,3.376063108444214,WeightedExpectimaxAgent,N/A,DOWN,0,3
4,0,0,0,0,0,0,8,0,0,0,8,0,0,2,16,64,4.953720808029175,WeightedExpectimaxAgent,N/A,DOWN,0,0
0,2,0,0,0,0,0,0,0,0,0,16,4,0,2,16,80,4.412437677383423,WeightedExpectimaxAgent,N/A,DOWN,0,1
0,0,0,0,2,0,0,0,0,0,0,0,4,2,2,32,112,4.846482992172241,WeightedExpectimaxAgent,N/A,RIGHT,0,4
