Val0,Val1,Val2,Val3,Val4,Val5,Val6,Val7,Val8,Val9,Val10,Val11,Val12,Val13,Val14,Val15,Score,Time,Agent,AgentHeur,Move,Trial,RandTilePos
0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1.1280698776245117,N/A,N/A,RIGHT,0,10
0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,1.0245890617370605,N/A,N/A,UP,0,8
2,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,4,0.9326038360595703,N/A,N/A,LEFT,0,13
2,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0.9531610012054443,N/A,N/A,UP,0,2
4,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0.6497671604156494,N/A,N/A,LEFT,0,3
8,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,16,0.8111238479614258,N/A,N/A,DOWN,0,9
0,0,0,0,0,0,0,2,0,4,0,0,8,2,2,0,16,0.7609519958496094,N/A,N/A,RIGHT,0,7
0,0,0,0,2,0,0,2,0,0,0,4,0,0,8,4,20,0.8264017105102539,N/A,N/A,DOWN,0,4
0,0,0,0,0,0,0,0,0,0,4,2,2,0,8,8,28,0.6192629337310791,N/A,N/A,RIGHT,0,10
0,0,0,0,0,0,0,0,0,0,4,2,2,0,2,16,44,0.6018829345703125,N/A,N/A,RIGHT,0,12
0,2,0,0,0,0,0,0,0,0,4,2,0,0,4,16,48,0.7216498851776123,N/A,N/A,RIGHT,0,1
0,0,0,2,0,0,0,0,0,0,4,2,4,0,4,16,48,0.7440943717956543,N/A,N/A,DOWN,0,12
0,0,0,0,0,0,0,0,0,0,2,4,4,0,8,16,60,0.5368819236755371,N/A,N/A,RIGHT,0,10
0,0,0,0,0,0,2,0,0,0,2,4,0,4,8,16,60,0.8366069793701172,N/A,N/A,UP,0,6
2,4,4,4,0,0,8,16,0,0,0,0,0,0,0,0,64,0.4625852108001709,N/A,N/A,RIGHT,0,0
2,2,4,8,0,0,8,16,0,0,0,0,0,0,0,0,72,0.5038378238677979,N/A,N/A,RIGHT,0,0
0,4,4,8,0,0,8,16,0,0,0,0,0,0,4,0,76,0.9245429039001465,N/A,N/A,RIGHT,0,14
0,0,8,8,0,0,8,16,0,0,0,0,0,4,0,4,84,0.7807619571685791,N/A,N/A,RIGHT,0,13
0,0,0,16,0,0,8,16,0,0,0,2,0,0,0,8,108,0.537848949432373,N/A,N/A,DOWN,0,11
0,0,0,2,0,0,0,32,0,0,0,2,0,0,8,8,140,0.4700291156768799,N/A,N/A,RIGHT,0,3
