Val0,Val1,Val2,Val3,Val4,Val5,Val6,Val7,Val8,Val9,Val10,Val11,Val12,Val13,Val14,Val15,Score,Time,Agent,AgentHeur,Move,Trial,RandTilePos
0,0,2,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0.8796801567077637,MaxScoreExpectimaxAgent,N/A,DOWN,0,2
0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,4,0,0.6527509689331055,MaxScoreExpectimaxAgent,N/A,RIGHT,0,11
0,0,0,0,0,0,0,0,0,2,0,2,0,0,4,4,4,0.8013968467712402,MaxScoreExpectimaxAgent,N/A,RIGHT,0,9
0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,8,16,0.838886022567749,MaxScoreExpectimaxAgent,N/A,DOWN,0,1
0,0,0,0,2,0,0,0,0,0,0,4,0,2,0,8,16,0.7233419418334961,MaxScoreExpectimaxAgent,N/A,DOWN,0,4
0,0,0,0,0,0,0,0,4,0,0,4,2,2,0,8,16,0.5529558658599854,MaxScoreExpectimaxAgent,N/A,RIGHT,0,8
0,0,0,0,0,0,0,0,2,0,0,8,0,0,4,8,28,0.7998321056365967,MaxScoreExpectimaxAgent,N/A,DOWN,0,8
0,0,0,2,0,0,0,0,0,0,0,0,2,0,4,16,44,0.7186369895935059,MaxScoreExpectimaxAgent,N/A,LEFT,0,3
2,0,0,0,2,0,0,0,0,0,0,0,2,4,16,0,44,0.5332081317901611,MaxScoreExpectimaxAgent,N/A,DOWN,0,4
0,0,0,0,2,0,0,0,2,0,0,0,4,4,16,0,48,0.7523510456085205,MaxScoreExpectimaxAgent,N/A,DOWN,0,4
0,0,0,0,0,0,0,0,4,0,0,2,4,4,16,0,52,0.6255049705505371,MaxScoreExpectimaxAgent,N/A,LEFT,0,11
0,0,0,0,0,2,0,0,4,2,0,0,8,16,0,0,60,0.6601521968841553,MaxScoreExpectimaxAgent,N/A,DOWN,0,5
0,0,2,0,0,0,0,0,4,4,0,0,8,16,0,0,64,0.6433811187744141,MaxScoreExpectimaxAgent,N/A,LEFT,0,2
2,0,0,0,2,0,0,0,8,0,0,0,8,16,0,0,72,0.579124927520752,MaxScoreExpectimaxAgent,N/A,DOWN,0,4
0,0,0,0,0,0,0,0,4,2,0,0,16,16,0,0,92,0.5961341857910156,MaxScoreExpectimaxAgent,N/A,LEFT,0,9
0,0,0,0,0,0,0,0,4,2,0,0,32,0,4,0,124,0.6280097961425781,MaxScoreExpectimaxAgent,N/A,LEFT,0,14
