Val0,Val1,Val2,Val3,Val4,Val5,Val6,Val7,Val8,Val9,Val10,Val11,Val12,Val13,Val14,Val15,Score,Time,Agent,AgentHeur,Move,Trial,RandTilePos
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.3596339225769043,MaxTileCornerExpectimaxAgent,N/A,UP,0,6
0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1.2360954284667969,MaxTileCornerExpectimaxAgent,N/A,UP,0,11
0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1.855402946472168,MaxTileCornerExpectimaxAgent,N/A,UP,0,4
2,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1.0281972885131836,MaxTileCornerExpectimaxAgent,N/A,UP,0,9
2,2,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1.116142988204956,MaxTileCornerExpectimaxAgent,N/A,UP,0,12
4,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,4,1.0563850402832031,MaxTileCornerExpectimaxAgent,N/A,UP,0,14
4,2,4,2,0,0,0,0,0,0,0,0,0,4,0,0,8,0.8104376792907715,MaxTileCornerExpectimaxAgent,N/A,LEFT,0,13
4,2,4,2,0,0,0,0,0,0,0,2,4,0,0,0,8,0.8259899616241455,MaxTileCornerExpectimaxAgent,N/A,UP,0,11
8,2,4,4,0,0,0,2,0,0,0,0,0,0,0,0,20,0.6271932125091553,MaxTileCornerExpectimaxAgent,N/A,LEFT,0,7
8,2,8,0,2,0,2,0,0,0,0,0,0,0,0,0,28,0.5918841361999512,MaxTileCornerExpectimaxAgent,N/A,LEFT,0,6
8,2,8,0,4,0,0,2,0,0,0,0,0,0,0,0,32,0.689079999923706,MaxTileCornerExpectimaxAgent,N/A,UP,0,7
8,2,8,2,4,0,0,0,0,0,0,4,0,0,0,0,32,0.619652271270752,MaxTileCornerExpectimaxAgent,N/A,UP,0,11
8,2,8,2,4,0,2,4,0,0,0,0,0,0,0,0,32,0.41034603118896484,MaxTileCornerExpectimaxAgent,N/A,LEFT,0,6
