Val0,Val1,Val2,Val3,Val4,Val5,Val6,Val7,Val8,Val9,Val10,Val11,Val12,Val13,Val14,Val15,Score,Time,Agent,AgentHeur,Move,Trial,RandTilePos
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1.27334404,MaxTileCornerExpectimaxAgent,N/A,UP,0,15
0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1.346621275,MaxTileCornerExpectimaxAgent,N/A,LEFT,0,14
4,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,4,1.082506895,MaxTileCornerExpectimaxAgent,N/A,LEFT,0,5
4,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,4,1.12861371,MaxTileCornerExpectimaxAgent,N/A,UP,0,15
4,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,8,1.220207691,MaxTileCornerExpectimaxAgent,N/A,LEFT,0,1
4,4,0,0,4,0,0,0,0,0,0,0,2,0,0,0,12,1.196475744,MaxTileCornerExpectimaxAgent,N/A,LEFT,0,12
8,0,0,0,4,0,0,0,0,2,0,0,2,0,0,0,20,0.943365097,MaxTileCornerExpectimaxAgent,N/A,LEFT,0,9
8,0,0,0,4,0,0,0,2,2,0,0,2,0,0,0,20,0.987677813,MaxTileCornerExpectimaxAgent,N/A,UP,0,9
8,2,0,0,4,0,0,0,4,0,0,0,0,0,2,0,24,0.927720785,MaxTileCornerExpectimaxAgent,N/A,UP,0,14
8,2,2,0,8,0,0,0,0,0,0,0,2,0,0,0,32,0.882068872,MaxTileCornerExpectimaxAgent,N/A,UP,0,12
16,2,2,0,2,0,0,0,0,0,0,0,2,0,0,0,48,0.939599752,MaxTileCornerExpectimaxAgent,N/A,UP,0,12
16,2,2,0,4,0,0,0,0,0,2,0,0,0,0,0,52,0.913118362,MaxTileCornerExpectimaxAgent,N/A,UP,0,10
16,2,4,0,4,0,0,0,2,0,0,0,0,0,0,0,56,0.387619972,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,8
0,16,2,4,2,0,0,4,0,0,0,2,0,0,0,0,56,0.701159954,MaxTileCornerExpectimaxAgent,N/A,LEFT,0,4
16,2,4,0,2,4,0,2,2,0,0,0,0,0,0,0,56,0.592180014,MaxTileCornerExpectimaxAgent,N/A,UP,0,7
16,2,4,2,4,4,0,0,2,0,0,0,0,0,0,0,60,0.450640917,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,8
16,2,4,2,0,0,0,8,0,0,2,2,0,0,0,0,68,0.525194168,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,10
16,2,4,2,0,0,2,8,0,0,0,4,0,0,0,0,72,0.26569581,MaxTileCornerExpectimaxAgent,N/A,LEFT,0,6
16,2,4,2,2,8,0,0,4,0,0,0,0,2,0,0,72,0.416861057,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,13
16,2,4,2,2,0,2,8,0,0,0,4,0,0,0,2,72,0.332646847,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,4
16,2,4,2,0,0,4,8,0,0,2,4,0,0,0,2,76,0.321264029,MaxTileCornerExpectimaxAgent,N/A,UP,0,10
16,2,8,2,0,0,2,8,0,0,0,4,0,2,0,2,84,0.46699214,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,13
16,2,8,2,0,0,2,8,0,0,0,4,0,2,0,4,88,0.48453784,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,13
16,2,8,2,0,0,2,8,2,0,0,4,0,0,2,4,88,0.386237144,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,8
16,2,8,2,2,0,2,8,0,0,2,4,0,0,2,4,88,0.360430241,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,4
16,2,8,2,0,0,4,8,2,0,2,4,0,0,2,4,92,0.36659193,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,8
16,2,8,2,0,0,4,8,2,0,4,4,0,0,2,4,96,0.34774518,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,8
16,2,8,2,0,0,4,8,0,0,2,8,0,2,2,4,104,0.418962955,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,13
16,2,8,2,0,2,4,8,0,0,2,8,0,0,4,4,108,0.279484034,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,5
16,2,8,2,0,2,4,8,0,0,2,8,0,2,0,8,116,0.237409592,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,13
16,2,8,2,0,2,4,8,2,0,2,8,0,0,2,8,116,0.27927804,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,8
16,2,8,2,0,2,4,8,2,0,4,8,0,0,2,8,120,0.242036819,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,8
16,2,8,2,2,2,4,8,0,2,4,8,0,0,2,8,120,0.207040787,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,4
16,2,8,2,2,4,4,8,0,2,4,8,0,0,2,8,124,0.177606821,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,4
16,2,8,2,0,2,8,8,0,2,4,8,0,2,2,8,132,0.284086943,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,13
16,2,8,2,0,0,2,16,2,2,4,8,0,0,4,8,152,0.277040005,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,8
16,2,8,2,2,0,2,16,0,4,4,8,0,0,4,8,156,0.264587641,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,4
16,2,8,2,0,0,4,16,0,0,8,8,0,2,4,8,168,0.295951843,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,13
16,2,8,2,0,0,4,16,0,0,2,16,0,2,4,8,184,0.200559139,MaxTileCornerExpectimaxAgent,N/A,LEFT,0,10
16,2,8,2,4,16,0,0,2,16,2,0,2,4,8,0,184,0.171443939,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,10
16,2,8,2,2,0,4,16,0,2,16,2,0,2,4,8,184,0.093220711,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,4
16,2,8,2,2,2,4,16,0,2,16,2,0,2,4,8,184,0.106128931,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,4
16,2,8,2,2,4,4,16,0,2,16,2,0,2,4,8,188,0.07845211,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,4
16,2,8,2,0,2,8,16,0,2,16,2,2,2,4,8,196,0.152194977,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,12
16,2,8,2,0,2,8,16,0,2,16,2,2,4,4,8,200,0.135590076,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,12
16,2,8,2,0,2,8,16,0,2,16,2,2,2,8,8,208,0.172942162,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,12
16,2,8,2,0,2,8,16,2,2,16,2,0,0,4,16,228,0.165394306,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,8
16,2,8,2,0,2,8,16,0,4,16,2,0,2,4,16,232,0.121606827,MaxTileCornerExpectimaxAgent,N/A,LEFT,0,13
16,2,8,2,2,8,16,0,4,16,2,2,2,4,16,0,232,0.059907675,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,11
16,2,8,2,0,2,8,16,2,4,16,4,0,2,4,16,236,0.088392973,MaxTileCornerExpectimaxAgent,N/A,LEFT,0,8
16,2,8,2,2,8,16,2,2,4,16,4,2,4,16,0,236,0.089850903,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,7
16,2,8,2,2,8,16,2,2,4,16,4,2,2,4,16,236,0.054232836,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,12
16,2,8,2,2,8,16,2,2,4,16,4,2,4,4,16,240,0.069018126,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,12
16,2,8,2,2,8,16,2,2,4,16,4,2,2,8,16,248,0.056055069,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,12
16,2,8,2,2,8,16,2,2,4,16,4,2,4,8,16,252,0.071951151,MaxTileCornerExpectimaxAgent,N/A,UP,0,12
16,2,8,4,4,8,32,4,2,8,8,16,2,0,0,0,300,0.192176819,MaxTileCornerExpectimaxAgent,N/A,UP,0,12
16,2,8,8,4,16,32,16,4,0,8,0,0,0,0,2,328,0.225861073,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,15
2,16,2,16,4,16,32,16,0,0,4,8,0,0,0,2,344,0.191158772,MaxTileCornerExpectimaxAgent,N/A,LEFT,0,0
2,16,2,16,4,16,32,16,4,8,2,0,2,0,0,0,344,0.193904161,MaxTileCornerExpectimaxAgent,N/A,UP,0,10
2,32,2,32,8,8,32,0,2,0,2,0,2,0,0,0,416,0.355298042,MaxTileCornerExpectimaxAgent,N/A,UP,0,12
2,32,2,32,8,8,32,0,4,0,2,2,0,0,0,0,420,0.345897913,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,11
2,32,2,32,0,0,16,32,0,0,4,4,0,0,0,2,440,0.379817963,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,15
2,32,2,32,0,0,16,32,2,0,0,8,0,0,0,2,448,0.381320238,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,8
2,32,2,32,0,2,16,32,0,0,2,8,0,0,0,2,448,0.22397995,MaxTileCornerExpectimaxAgent,N/A,LEFT,0,5
2,32,2,32,2,16,32,0,2,8,2,0,2,0,0,0,448,0.210072756,MaxTileCornerExpectimaxAgent,N/A,UP,0,10
4,32,2,32,4,16,32,0,0,8,2,0,0,0,0,2,456,0.291537285,MaxTileCornerExpectimaxAgent,N/A,UP,0,15
8,32,2,32,2,16,32,2,0,8,2,0,0,0,0,0,464,0.16614604,MaxTileCornerExpectimaxAgent,N/A,RIGHT,0,4
8,32,2,32,2,16,32,2,0,2,8,2,0,0,0,0,464,0.151331902,MaxTileCornerExpectimaxAgent,N/A,UP,0,9
8,32,2,32,2,16,32,4,0,2,8,0,0,0,2,0,468,0.121783733,MaxTileCornerExpectimaxAgent,N/A,DOWN,0,14
0,0,2,0,0,32,32,2,8,16,8,32,2,2,2,4,468,0.154592991,MaxTileCornerExpectimaxAgent,N/A,LEFT,0,7
