Val0,Val1,Val2,Val3,Val4,Val5,Val6,Val7,Val8,Val9,Val10,Val11,Val12,Val13,Val14,Val15,Score,Time,Agent,AgentHeur,Move,Trial,RandTilePos
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.8888227939605713,N/A,N/A,DOWN,0,8
0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1.1510870456695557,N/A,N/A,DOWN,0,7
0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,1.0280277729034424,N/A,N/A,LEFT,0,10
0,0,0,0,0,0,0,0,2,0,0,0,4,2,0,0,4,0.48490381240844727,N/A,N/A,UP,0,13
2,2,0,0,4,0,2,0,0,0,0,0,0,0,0,0,4,0.9876160621643066,N/A,N/A,LEFT,0,6
4,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,8,0.9995651245117188,N/A,N/A,DOWN,0,10
0,0,2,0,0,0,0,0,0,0,0,0,8,2,2,0,16,0.9930896759033203,N/A,N/A,DOWN,0,2
0,0,0,0,0,0,0,0,0,2,0,0,8,2,4,0,20,1.0329360961914062,N/A,N/A,DOWN,0,9
0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,4,24,0.679145097732544,N/A,N/A,LEFT,0,15
0,0,2,0,0,0,0,0,0,0,0,0,8,8,4,0,32,0.9476780891418457,N/A,N/A,RIGHT,0,2
2,0,0,2,0,0,0,0,0,0,0,0,0,0,16,4,48,1.0091431140899658,N/A,N/A,RIGHT,0,0
0,0,0,4,0,0,0,2,0,0,0,0,0,0,16,4,52,0.5822720527648926,N/A,N/A,DOWN,0,7
0,0,4,0,0,0,0,4,0,0,0,2,0,0,16,4,52,0.7226240634918213,N/A,N/A,DOWN,0,2
0,0,0,0,0,0,2,4,0,0,4,2,0,0,16,4,52,0.2724649906158447,N/A,N/A,UP,0,6
2,0,2,4,0,0,4,2,0,0,16,4,0,0,0,0,52,0.4120137691497803,N/A,N/A,DOWN,0,0
0,0,0,0,0,0,2,4,0,0,4,2,2,2,16,4,52,0.37056612968444824,N/A,N/A,UP,0,13
2,2,2,4,0,0,4,2,0,0,16,4,2,0,0,0,52,0.4266059398651123,N/A,N/A,DOWN,0,12
0,0,0,0,0,2,2,4,0,0,4,2,4,2,16,4,56,0.5034058094024658,N/A,N/A,DOWN,0,5
0,0,0,0,2,0,2,4,0,0,4,2,4,4,16,4,60,0.4231889247894287,N/A,N/A,LEFT,0,4
0,2,0,0,4,4,0,0,4,2,0,0,8,16,4,0,72,0.4871361255645752,N/A,N/A,DOWN,0,1
0,2,0,0,0,4,0,2,8,2,0,0,8,16,4,0,80,0.47167491912841797,N/A,N/A,DOWN,0,7
0,2,0,0,0,4,0,0,0,2,0,2,16,16,4,2,96,0.6151211261749268,N/A,N/A,LEFT,0,11
2,0,0,0,4,0,4,0,4,0,0,0,32,4,2,0,132,0.5717298984527588,N/A,N/A,DOWN,0,6
0,0,0,0,2,2,0,0,8,0,4,0,32,4,2,0,140,0.5356888771057129,N/A,N/A,DOWN,0,5
0,0,2,0,2,0,0,0,8,2,4,0,32,4,2,0,140,0.4279751777648926,N/A,N/A,DOWN,0,2
0,0,0,2,2,0,2,0,8,2,4,0,32,4,2,0,140,0.37590503692626953,N/A,N/A,LEFT,0,3
2,0,0,0,4,2,0,0,8,2,4,0,32,4,2,0,144,0.29876208305358887,N/A,N/A,DOWN,0,5
2,0,0,0,4,0,2,0,8,4,4,0,32,4,2,0,148,0.43274903297424316,N/A,N/A,DOWN,0,6
2,0,0,0,4,0,2,0,8,2,4,0,32,8,2,0,156,0.22730112075805664,N/A,N/A,UP,0,9
2,2,2,0,4,8,4,2,8,0,2,0,32,0,0,0,156,0.27338600158691406,N/A,N/A,DOWN,0,7
2,2,0,0,4,0,2,0,8,2,4,0,32,8,2,2,156,0.31475019454956055,N/A,N/A,DOWN,0,1
2,0,0,0,4,2,2,0,8,4,4,0,32,8,2,2,160,0.3302426338195801,N/A,N/A,UP,0,5
2,2,2,2,4,4,4,0,8,8,2,0,32,0,2,0,160,0.36419200897216797,N/A,N/A,DOWN,0,14
2,0,0,0,4,2,2,0,8,4,4,2,32,8,4,2,164,0.2640361785888672,N/A,N/A,DOWN,0,11
2,0,0,0,4,2,0,2,8,4,2,0,32,8,8,4,176,0.2721560001373291,N/A,N/A,DOWN,0,7
