Val0,Val1,Val2,Val3,Val4,Val5,Val6,Val7,Val8,Val9,Val10,Val11,Val12,Val13,Val14,Val15,Score,Time,Agent,AgentHeur,Move,Trial,RandTilePos
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1.6646571159362793,N/A,N/A,UP,0,6
0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1.0425097942352295,N/A,N/A,RIGHT,0,6
0,0,0,2,0,0,0,4,0,2,0,0,0,0,0,0,0,1.316070318222046,N/A,N/A,LEFT,0,9
2,2,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,1.033728837966919,N/A,N/A,LEFT,0,1
4,0,0,0,4,0,4,0,2,0,0,0,0,0,0,0,4,1.2818193435668945,N/A,N/A,RIGHT,0,6
0,0,0,4,0,0,0,8,0,2,0,2,0,0,0,0,12,1.287822961807251,N/A,N/A,UP,0,9
0,2,0,4,0,2,0,8,0,0,0,2,0,0,0,0,12,1.1728770732879639,N/A,N/A,LEFT,0,5
2,4,0,0,2,8,0,0,2,0,0,0,0,0,0,2,12,1.2425611019134521,N/A,N/A,UP,0,15
4,4,0,2,2,8,0,0,0,0,0,0,2,0,0,0,16,1.2406198978424072,N/A,N/A,UP,0,12
4,4,0,2,4,8,0,0,0,0,2,0,0,0,0,0,20,1.273667812347412,N/A,N/A,UP,0,10
8,4,2,2,0,8,0,0,0,0,0,0,0,0,2,0,28,1.3014779090881348,N/A,N/A,LEFT,0,14
8,4,4,0,8,0,2,0,0,0,0,0,2,0,0,0,32,1.2378790378570557,N/A,N/A,LEFT,0,6
8,8,0,0,8,2,2,0,0,0,0,0,2,0,0,0,40,1.0846760272979736,N/A,N/A,DOWN,0,6
0,0,0,0,0,0,0,2,16,8,0,0,2,2,2,0,56,1.1678197383880615,N/A,N/A,DOWN,0,7
0,0,2,0,0,0,0,0,16,8,0,0,2,2,2,2,56,1.5022008419036865,N/A,N/A,LEFT,0,2
