Val0,Val1,Val2,Val3,Val4,Val5,Val6,Val7,Val8,Val9,Val10,Val11,Val12,Val13,Val14,Val15,Score,Time,Agent,AgentHeur,Move,Trial,RandTilePos
2,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,1.414669037,MonteCarloAgent,N/A,RIGHT,0,0
0,0,0,2,0,0,0,4,0,0,0,0,2,0,0,2,0,1.331751108,MonteCarloAgent,N/A,DOWN,0,12
0,0,0,0,0,0,0,2,0,0,0,4,2,2,0,2,0,0.986581087,MonteCarloAgent,N/A,LEFT,0,13
2,0,0,0,2,0,0,0,4,0,0,0,4,2,0,0,4,1.055008173,MonteCarloAgent,N/A,UP,0,0
4,2,0,0,8,0,0,0,0,0,0,0,4,0,0,0,16,0.951895952,MonteCarloAgent,N/A,DOWN,0,12
0,0,0,0,4,0,0,0,8,0,0,2,4,2,0,0,16,1.289452791,MonteCarloAgent,N/A,LEFT,0,11
0,0,0,0,4,0,0,0,8,2,0,0,4,2,2,0,16,1.33416605,MonteCarloAgent,N/A,DOWN,0,14
0,0,0,0,4,0,0,0,8,0,2,0,4,4,2,0,20,1.268130064,MonteCarloAgent,N/A,DOWN,0,10
0,2,0,0,4,0,0,0,8,0,0,0,4,4,4,0,24,1.252487898,MonteCarloAgent,N/A,RIGHT,0,1
0,0,0,2,0,0,2,4,0,0,0,8,0,0,4,8,32,1.03171587,MonteCarloAgent,N/A,LEFT,0,6
2,0,0,0,2,4,0,0,8,0,0,4,4,8,0,0,32,1.09321928,MonteCarloAgent,N/A,RIGHT,0,11
0,0,2,2,0,0,2,4,0,0,8,4,0,0,4,8,32,1.059427977,MonteCarloAgent,N/A,DOWN,0,2
0,2,0,0,0,0,4,2,0,0,8,8,0,0,4,8,44,1.168819189,MonteCarloAgent,N/A,LEFT,0,1
2,0,0,0,4,2,0,0,16,0,4,0,4,8,0,0,60,1.114208937,MonteCarloAgent,N/A,LEFT,0,10
2,0,0,4,4,2,0,0,16,4,0,0,4,8,0,0,60,1.15138793,MonteCarloAgent,N/A,UP,0,3
2,2,0,4,4,4,0,2,16,8,0,0,4,0,0,0,60,0.883000851,MonteCarloAgent,N/A,LEFT,0,7
4,4,0,0,8,2,0,0,16,8,0,0,4,2,0,0,72,0.679533958,MonteCarloAgent,N/A,RIGHT,0,13
0,0,0,8,0,0,8,2,0,0,16,8,0,2,4,2,80,0.525047064,MonteCarloAgent,N/A,LEFT,0,13
8,0,0,0,8,2,2,0,16,8,0,0,2,4,2,0,80,1.175513029,MonteCarloAgent,N/A,UP,0,6
16,2,4,0,16,8,0,0,2,4,0,0,0,2,0,0,100,1.028093815,MonteCarloAgent,N/A,LEFT,0,13
16,2,4,0,16,8,0,0,2,4,0,0,2,2,0,0,100,1.238031864,MonteCarloAgent,N/A,UP,0,13
32,2,4,0,4,8,0,0,2,4,0,0,0,2,0,0,136,0.90165019,MonteCarloAgent,N/A,LEFT,0,8
32,2,4,0,4,8,0,0,2,4,0,0,2,0,0,2,136,1.12916398,MonteCarloAgent,N/A,RIGHT,0,15
0,32,2,4,2,0,4,8,0,0,2,4,0,0,0,4,140,0.991905928,MonteCarloAgent,N/A,DOWN,0,4
0,2,0,0,0,0,2,4,0,0,4,8,2,32,2,8,148,1.039062977,MonteCarloAgent,N/A,DOWN,0,1
0,0,0,0,0,0,2,2,0,2,4,4,2,32,2,16,164,0.750876904,MonteCarloAgent,N/A,UP,0,7
2,2,2,2,0,32,4,4,0,0,2,16,0,0,0,2,164,0.868118048,MonteCarloAgent,N/A,RIGHT,0,15
0,0,4,4,0,0,32,8,0,0,2,16,4,0,0,2,180,1.149135828,MonteCarloAgent,N/A,LEFT,0,12
8,0,4,0,32,8,0,0,2,16,0,0,4,2,0,0,188,0.916015863,MonteCarloAgent,N/A,UP,0,2
8,8,4,0,32,16,0,0,2,2,0,0,4,0,0,2,188,0.936886072,MonteCarloAgent,N/A,DOWN,0,15
8,0,0,0,32,8,0,0,2,16,0,2,4,2,4,2,188,1.007441044,MonteCarloAgent,N/A,LEFT,0,11
8,0,0,2,32,8,0,0,2,16,2,0,4,2,4,2,188,0.93290782,MonteCarloAgent,N/A,DOWN,0,3
8,0,0,0,32,8,2,0,2,16,2,0,4,2,4,4,192,0.987385035,MonteCarloAgent,N/A,DOWN,0,6
8,0,2,0,32,8,0,0,2,16,4,0,4,2,4,4,196,0.964962006,MonteCarloAgent,N/A,LEFT,0,2
8,2,0,0,32,8,0,0,2,16,4,4,4,2,8,0,204,0.962142944,MonteCarloAgent,N/A,UP,0,11
8,2,4,4,32,8,8,2,2,16,0,0,4,2,0,0,204,0.705082178,MonteCarloAgent,N/A,DOWN,0,7
8,2,0,0,32,8,0,2,2,16,4,4,4,2,8,2,204,0.692839861,MonteCarloAgent,N/A,LEFT,0,7
8,2,0,4,32,8,2,0,2,16,8,0,4,2,8,2,212,0.738937855,MonteCarloAgent,N/A,LEFT,0,3
8,2,4,0,32,8,2,4,2,16,8,0,4,2,8,2,212,0.606966972,MonteCarloAgent,N/A,UP,0,7
8,2,4,4,32,8,2,2,2,16,16,0,4,2,0,2,228,0.982992887,MonteCarloAgent,N/A,LEFT,0,15
8,2,8,4,32,8,4,0,2,32,0,0,4,4,0,0,276,0.76266408,MonteCarloAgent,N/A,DOWN,0,3
8,2,0,0,32,8,0,2,2,32,8,0,4,4,4,4,276,0.804177999,MonteCarloAgent,N/A,DOWN,0,7
8,2,2,0,32,8,0,0,2,32,8,2,4,4,4,4,276,0.883837938,MonteCarloAgent,N/A,UP,0,2
8,2,2,2,32,8,8,4,2,32,4,2,4,4,0,0,276,0.67423296,MonteCarloAgent,N/A,LEFT,0,11
8,4,2,4,32,16,4,0,2,32,4,2,8,0,0,0,304,0.585496902,MonteCarloAgent,N/A,UP,0,3
8,4,2,4,32,16,8,2,2,32,0,2,8,0,0,0,312,0.703145981,MonteCarloAgent,N/A,LEFT,0,11
8,4,2,4,32,16,8,2,2,32,2,0,8,0,0,4,312,0.693217993,MonteCarloAgent,N/A,RIGHT,0,15
8,4,2,4,32,16,8,2,0,2,32,2,0,2,8,4,312,0.412933826,MonteCarloAgent,N/A,UP,0,13
8,4,2,4,32,16,8,4,2,4,32,4,0,0,8,0,320,0.467471838,MonteCarloAgent,N/A,DOWN,0,8
0,2,2,0,8,4,8,0,32,16,32,4,2,4,8,8,328,0.541884899,MonteCarloAgent,N/A,RIGHT,0,1
0,0,0,4,2,8,4,8,32,16,32,4,0,2,4,16,348,0.496646166,MonteCarloAgent,N/A,LEFT,0,4
4,0,0,2,2,8,4,8,32,16,32,4,2,4,16,0,348,0.680154085,MonteCarloAgent,N/A,LEFT,0,3
4,2,2,0,2,8,4,8,32,16,32,4,2,4,16,0,348,0.740230083,MonteCarloAgent,N/A,UP,0,2
4,2,2,8,2,8,4,4,32,16,32,0,2,4,16,2,348,0.687029839,MonteCarloAgent,N/A,RIGHT,0,15
2,4,4,8,0,2,8,8,0,32,16,32,2,4,16,2,360,0.870795012,MonteCarloAgent,N/A,UP,0,0
4,4,4,16,2,2,8,32,0,32,32,2,0,4,0,0,412,0.514960051,MonteCarloAgent,N/A,LEFT,0,4
8,4,16,0,4,8,32,0,64,2,0,0,4,2,0,0,488,0.581362009,MonteCarloAgent,N/A,DOWN,0,13
8,0,4,0,4,4,0,0,64,8,16,0,4,4,32,0,492,0.777203321,MonteCarloAgent,N/A,DOWN,0,2
8,0,2,0,4,4,4,0,64,8,16,0,4,4,32,0,492,0.486931324,MonteCarloAgent,N/A,RIGHT,0,2
0,0,8,2,0,0,4,8,0,64,8,16,0,2,8,32,508,0.679516792,MonteCarloAgent,N/A,UP,0,13
0,64,8,2,0,2,4,8,2,0,16,16,0,0,0,32,524,0.803251028,MonteCarloAgent,N/A,RIGHT,0,8
0,64,8,2,0,2,4,8,2,0,2,32,0,0,0,32,556,0.742223263,MonteCarloAgent,N/A,RIGHT,0,8
2,64,8,2,0,2,4,8,0,0,4,32,0,0,0,32,560,0.536241055,MonteCarloAgent,N/A,DOWN,0,0
0,0,2,0,0,0,0,2,0,64,8,8,2,2,8,64,632,0.705787897,MonteCarloAgent,N/A,LEFT,0,2
2,0,0,0,2,0,0,0,64,16,0,0,4,8,64,2,652,0.604145765,MonteCarloAgent,N/A,RIGHT,0,15
0,0,0,2,0,2,0,2,0,0,64,16,4,8,64,2,652,0.839745045,MonteCarloAgent,N/A,LEFT,0,5
2,0,0,0,4,2,0,0,64,16,0,0,4,8,64,2,656,0.381282806,MonteCarloAgent,N/A,RIGHT,0,5
0,0,0,2,0,0,4,2,2,0,64,16,4,8,64,2,656,0.819405079,MonteCarloAgent,N/A,UP,0,8
2,8,4,4,4,0,128,16,0,2,0,2,0,0,0,0,788,0.840036869,MonteCarloAgent,N/A,LEFT,0,9
2,8,8,0,4,128,16,0,4,0,0,0,0,0,2,0,800,0.903418064,MonteCarloAgent,N/A,DOWN,0,14
0,0,0,0,0,2,8,0,2,8,16,0,8,128,2,0,808,0.726742983,MonteCarloAgent,N/A,RIGHT,0,5
0,0,0,0,0,0,2,8,2,2,8,16,0,8,128,2,808,0.766502857,MonteCarloAgent,N/A,LEFT,0,8
0,0,0,0,2,8,0,0,4,8,16,2,8,128,2,0,812,0.565825939,MonteCarloAgent,N/A,UP,0,11
2,16,16,2,4,128,2,0,8,0,0,0,0,0,2,0,828,0.799038887,MonteCarloAgent,N/A,LEFT,0,14
2,32,2,0,4,128,2,0,8,0,0,0,2,0,0,2,860,0.805300951,MonteCarloAgent,N/A,LEFT,0,15
2,32,2,0,4,128,2,0,8,0,0,0,4,0,2,0,864,0.786654949,MonteCarloAgent,N/A,RIGHT,0,14
0,2,32,2,0,4,128,2,0,0,0,8,2,0,4,2,864,0.688802004,MonteCarloAgent,N/A,UP,0,12
2,2,32,4,0,4,128,8,0,0,4,2,0,0,2,0,868,0.52520299,MonteCarloAgent,N/A,DOWN,0,14
0,0,32,0,2,0,128,4,0,2,4,8,2,4,2,2,868,0.783956051,MonteCarloAgent,N/A,LEFT,0,4
32,0,0,2,2,128,4,0,2,4,8,0,2,4,4,0,872,0.730584621,MonteCarloAgent,N/A,UP,0,3
32,128,4,2,4,8,8,0,2,0,4,0,0,0,2,0,884,0.538342953,MonteCarloAgent,N/A,RIGHT,0,14
32,128,4,2,2,0,4,16,0,0,2,4,0,0,0,2,900,0.664112806,MonteCarloAgent,N/A,UP,0,4
32,128,8,2,2,0,2,16,0,0,2,4,0,0,0,2,908,0.774165869,MonteCarloAgent,N/A,DOWN,0,10
0,0,0,2,2,0,0,16,32,0,8,4,2,128,4,2,912,0.578402042,MonteCarloAgent,N/A,LEFT,0,4
2,0,0,2,2,16,0,0,32,8,4,0,2,128,4,2,912,0.648139,MonteCarloAgent,N/A,RIGHT,0,3
0,0,0,4,0,2,2,16,0,32,8,4,2,128,4,2,916,0.591542959,MonteCarloAgent,N/A,RIGHT,0,5
0,0,0,4,0,2,4,16,0,32,8,4,2,128,4,2,920,0.352288961,MonteCarloAgent,N/A,LEFT,0,5
4,0,0,0,2,4,16,2,32,8,4,0,2,128,4,2,920,0.548839808,MonteCarloAgent,N/A,RIGHT,0,7
0,0,0,4,2,4,16,2,2,32,8,4,2,128,4,2,920,0.466466904,MonteCarloAgent,N/A,UP,0,8
4,4,16,4,2,32,8,2,0,128,4,4,2,0,0,2,924,0.739766121,MonteCarloAgent,N/A,DOWN,0,12
2,0,0,4,0,4,16,2,4,32,8,4,4,128,4,2,928,0.793358803,MonteCarloAgent,N/A,RIGHT,0,0
0,0,2,4,2,4,16,2,4,32,8,4,4,128,4,2,928,0.527822971,MonteCarloAgent,N/A,LEFT,0,4
2,4,0,2,2,4,16,2,4,32,8,4,4,128,4,2,928,0.575694084,MonteCarloAgent,N/A,LEFT,0,3
2,4,2,2,2,4,16,2,4,32,8,4,4,128,4,2,928,0.569847107,MonteCarloAgent,N/A,RIGHT,0,3
2,2,4,4,2,4,16,2,4,32,8,4,4,128,4,2,932,0.558810234,MonteCarloAgent,N/A,DOWN,0,0
2,2,4,4,0,4,16,2,4,32,8,4,8,128,4,2,944,1.042553902,MonteCarloAgent,N/A,LEFT,0,0
4,8,0,0,4,16,2,2,4,32,8,4,8,128,4,2,956,0.579610109,MonteCarloAgent,N/A,RIGHT,0,7
0,2,4,8,0,4,16,4,4,32,8,4,8,128,4,2,960,0.597658873,MonteCarloAgent,N/A,UP,0,1
4,2,4,8,8,4,16,8,0,32,8,2,0,128,4,2,968,0.605130196,MonteCarloAgent,N/A,DOWN,0,15
2,2,4,0,0,4,16,0,4,32,8,16,8,128,4,4,988,0.595155954,MonteCarloAgent,N/A,LEFT,0,0
4,4,0,2,4,16,0,0,4,32,8,16,8,128,8,0,1000,0.787806988,MonteCarloAgent,N/A,UP,0,3
8,4,16,2,4,16,0,16,8,32,2,0,0,128,0,0,1024,0.588398933,MonteCarloAgent,N/A,RIGHT,0,10
8,4,16,2,0,4,4,32,0,8,32,2,0,0,0,128,1056,0.638710022,MonteCarloAgent,N/A,UP,0,5
8,8,16,2,0,8,4,32,0,0,32,2,0,2,0,128,1064,0.701246977,MonteCarloAgent,N/A,LEFT,0,13
16,16,2,2,8,4,32,0,32,2,0,0,2,128,0,0,1080,0.48896718,MonteCarloAgent,N/A,RIGHT,0,3
0,0,32,4,0,8,4,32,2,0,32,2,0,0,2,128,1116,0.829831839,MonteCarloAgent,N/A,RIGHT,0,8
0,2,32,4,0,8,4,32,0,2,32,2,0,0,2,128,1116,0.333877802,MonteCarloAgent,N/A,DOWN,0,1
0,0,32,4,0,2,4,32,2,8,32,2,0,2,2,128,1116,0.752235889,MonteCarloAgent,N/A,DOWN,0,8
0,2,32,4,0,2,4,32,0,8,32,2,2,2,2,128,1116,0.609638929,MonteCarloAgent,N/A,LEFT,0,1
2,32,4,0,2,4,32,0,8,32,2,0,4,2,128,2,1120,0.393207073,MonteCarloAgent,N/A,DOWN,0,15
0,32,4,0,4,4,32,2,8,32,2,0,4,2,128,2,1124,0.629757166,MonteCarloAgent,N/A,DOWN,0,7
0,32,4,0,4,4,32,2,8,32,2,0,4,2,128,4,1128,0.441040277,MonteCarloAgent,N/A,LEFT,0,7
32,4,0,2,8,32,2,0,8,32,2,0,4,2,128,4,1136,0.570249081,MonteCarloAgent,N/A,DOWN,0,3
0,0,0,0,32,4,2,0,16,64,4,2,4,2,128,4,1220,0.300237894,MonteCarloAgent,N/A,UP,0,6
32,4,2,2,16,64,4,4,4,2,128,0,2,0,0,0,1220,0.417224884,MonteCarloAgent,N/A,RIGHT,0,12
0,32,4,4,0,16,64,8,0,4,2,128,2,0,0,2,1232,0.606968641,MonteCarloAgent,N/A,DOWN,0,12
0,4,0,4,0,32,4,8,0,16,64,128,2,4,2,2,1232,0.397853851,MonteCarloAgent,N/A,RIGHT,0,1
0,0,2,8,0,32,4,8,0,16,64,128,0,2,4,4,1244,0.477884054,MonteCarloAgent,N/A,DOWN,0,2
0,2,2,0,0,32,4,16,0,16,64,128,0,2,4,4,1260,0.282945156,MonteCarloAgent,N/A,UP,0,1
0,2,2,16,0,32,4,128,2,16,64,4,0,2,4,0,1260,0.29226923,MonteCarloAgent,N/A,RIGHT,0,8
0,2,4,16,0,32,4,128,2,16,64,4,0,0,2,4,1264,0.392712355,MonteCarloAgent,N/A,UP,0,1
2,2,8,16,0,32,64,128,0,16,2,8,2,0,0,0,1280,0.590245008,MonteCarloAgent,N/A,UP,0,12
4,2,8,16,0,32,64,128,0,16,2,8,2,0,0,0,1284,0.338669777,MonteCarloAgent,N/A,UP,0,12
4,2,8,16,2,32,64,128,4,16,2,8,0,0,0,0,1284,0.110867977,MonteCarloAgent,N/A,DOWN,0,8
4,0,0,0,4,2,8,16,2,32,64,128,4,16,2,8,1284,0.260308027,MonteCarloAgent,N/A,UP,0,0
8,2,8,16,2,32,64,128,4,16,2,8,0,0,0,2,1292,0.12906599,MonteCarloAgent,N/A,LEFT,0,15
8,2,8,16,2,32,64,128,4,16,2,8,2,0,0,2,1292,0.25493598,MonteCarloAgent,N/A,DOWN,0,15
8,2,0,16,2,2,8,128,4,32,64,8,2,16,2,2,1292,0.358705282,MonteCarloAgent,N/A,UP,0,1
8,4,8,16,2,32,64,128,4,16,2,8,2,0,2,2,1296,0.256439924,MonteCarloAgent,N/A,UP,0,14
8,4,8,16,2,32,64,128,4,16,4,8,2,2,0,2,1300,0.240016222,MonteCarloAgent,N/A,LEFT,0,13
8,4,8,16,2,32,64,128,4,16,4,8,4,2,0,2,1304,0.158144236,MonteCarloAgent,N/A,UP,0,15
8,4,8,16,2,32,64,128,8,16,4,8,2,2,0,2,1312,0.201231241,MonteCarloAgent,N/A,RIGHT,0,12
8,4,8,16,2,32,64,128,8,16,4,8,0,2,2,4,1316,0.209811926,MonteCarloAgent,N/A,DOWN,0,13
2,4,8,16,8,32,64,128,2,16,4,8,8,2,2,4,1316,0.161001921,MonteCarloAgent,N/A,LEFT,0,0
2,4,8,16,8,32,64,128,2,16,4,8,8,4,4,2,1320,0.282079935,MonteCarloAgent,N/A,UP,0,15
2,4,8,16,8,32,64,128,2,16,8,8,8,4,2,2,1328,0.198552847,MonteCarloAgent,N/A,LEFT,0,14
2,4,8,16,8,32,64,128,2,16,16,2,8,4,4,0,1348,0.273304939,MonteCarloAgent,N/A,LEFT,0,11
2,4,8,16,8,32,64,128,2,32,2,2,8,8,0,0,1388,0.574601889,MonteCarloAgent,N/A,UP,0,11
2,4,8,16,8,64,64,128,2,8,2,2,8,4,0,0,1452,0.429291964,MonteCarloAgent,N/A,LEFT,0,13
2,4,8,16,8,128,128,0,2,8,4,0,8,4,0,2,1584,0.564615965,MonteCarloAgent,N/A,RIGHT,0,15
2,4,8,16,0,0,8,256,0,2,8,4,2,8,4,2,1840,0.459704876,MonteCarloAgent,N/A,DOWN,0,12
2,0,0,16,0,4,8,256,0,2,16,4,4,8,4,2,1860,0.62140584,MonteCarloAgent,N/A,RIGHT,0,0
0,0,2,16,2,4,8,256,0,2,16,4,4,8,4,2,1860,0.38066411,MonteCarloAgent,N/A,DOWN,0,4
0,0,2,16,2,4,8,256,2,2,16,4,4,8,4,2,1860,0.462983131,MonteCarloAgent,N/A,LEFT,0,4
2,16,0,0,2,4,8,256,4,16,4,2,4,8,4,2,1864,0.45767808,MonteCarloAgent,N/A,UP,0,11
4,16,8,256,8,4,8,4,0,16,0,0,2,8,0,0,1888,0.628556967,MonteCarloAgent,N/A,UP,0,12
4,16,16,256,8,4,0,4,2,16,2,0,0,8,0,0,1904,0.68343401,MonteCarloAgent,N/A,UP,0,10
4,16,16,256,8,4,2,4,2,16,2,0,0,8,0,0,1904,0.559451103,MonteCarloAgent,N/A,UP,0,10
4,16,16,256,8,4,4,4,2,16,0,0,0,8,2,0,1908,0.586067915,MonteCarloAgent,N/A,DOWN,0,14
