Val0,Val1,Val2,Val3,Val4,Val5,Val6,Val7,Val8,Val9,Val10,Val11,Val12,Val13,Val14,Val15,Score,Time,Agent,AgentHeur,Move,Trial,RandTilePos
0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1.239029884338379,N/A,N/A,DOWN,0,14
0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,4,0.8187389373779297,N/A,N/A,RIGHT,0,13
0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,4,4,1.0339930057525635,N/A,N/A,LEFT,0,4
0,0,0,0,2,0,0,0,0,0,0,0,2,4,2,0,4,0.7752120494842529,N/A,N/A,DOWN,0,14
0,0,0,0,0,0,0,0,0,0,2,0,4,4,2,0,8,1.1528468132019043,N/A,N/A,UP,0,10
4,4,4,0,0,0,2,0,0,0,0,0,0,0,0,0,12,0.7991359233856201,N/A,N/A,RIGHT,0,6
0,0,4,8,0,0,0,2,0,2,0,0,0,0,0,0,20,0.8603832721710205,N/A,N/A,RIGHT,0,9
0,0,4,8,0,0,0,2,0,0,0,2,0,0,2,0,20,0.7714529037475586,N/A,N/A,UP,0,14
0,0,4,8,0,0,2,4,0,0,0,0,0,0,0,2,24,0.5365378856658936,N/A,N/A,DOWN,0,15
0,0,2,0,0,0,0,8,0,0,4,4,0,0,2,2,24,0.9995601177215576,N/A,N/A,RIGHT,0,2
4,0,0,2,0,0,0,8,0,0,0,8,0,0,0,4,36,0.9802238941192627,N/A,N/A,DOWN,0,0
0,2,0,0,0,0,0,2,0,0,0,16,4,0,0,4,52,0.9164988994598389,N/A,N/A,RIGHT,0,1
2,0,0,2,0,0,0,2,0,0,0,16,0,0,0,8,60,0.8860149383544922,N/A,N/A,DOWN,0,0
0,0,0,0,0,0,0,4,0,2,0,16,2,0,0,8,64,0.7042498588562012,N/A,N/A,DOWN,0,9
0,0,0,0,0,0,0,4,2,0,0,16,2,2,0,8,64,0.6006581783294678,N/A,N/A,RIGHT,0,8
0,0,0,0,0,0,0,4,0,0,2,16,2,0,4,8,68,0.4089372158050537,N/A,N/A,LEFT,0,12
0,0,0,2,4,0,0,0,2,16,0,0,2,4,8,0,68,0.6009840965270996,N/A,N/A,UP,0,3
4,16,8,2,4,4,0,0,0,0,0,0,0,0,0,2,72,0.7778818607330322,N/A,N/A,UP,0,15
8,16,8,4,0,4,0,2,0,0,0,0,0,0,0,0,84,0.5390028953552246,N/A,N/A,LEFT,0,7
8,16,8,4,4,2,0,0,0,0,0,0,0,4,0,0,84,0.6146876811981201,N/A,N/A,DOWN,0,13
0,0,0,0,0,16,0,0,8,2,0,2,4,4,8,4,84,0.6846232414245605,N/A,N/A,RIGHT,0,11
0,0,0,0,0,0,0,16,0,0,8,4,2,8,8,4,96,0.7099246978759766,N/A,N/A,UP,0,12
2,8,16,16,0,2,0,8,0,0,0,0,0,0,0,0,120,0.5536928176879883,N/A,N/A,LEFT,0,5
2,8,32,0,2,8,2,0,0,0,0,0,0,0,0,0,152,0.6762301921844482,N/A,N/A,UP,0,6
4,16,32,0,0,0,2,0,0,0,0,0,0,2,0,0,172,0.8529500961303711,N/A,N/A,RIGHT,0,13
0,4,16,32,0,0,0,2,0,0,0,0,2,0,0,2,172,0.6813561916351318,N/A,N/A,RIGHT,0,12
0,4,16,32,0,0,0,2,4,0,0,0,0,0,0,4,176,0.5964438915252686,N/A,N/A,UP,0,8
4,4,16,32,0,0,0,2,0,0,0,4,4,0,0,0,176,0.5958449840545654,N/A,N/A,RIGHT,0,12
2,8,16,32,0,0,0,2,0,0,0,4,0,0,0,4,184,0.39019179344177246,N/A,N/A,LEFT,0,0
2,8,16,32,2,0,0,0,4,0,0,0,4,2,0,0,184,0.3642401695251465,N/A,N/A,UP,0,13
4,8,16,32,8,2,0,0,0,0,0,0,0,2,0,0,196,0.49716877937316895,N/A,N/A,UP,0,13
