Val0,Val1,Val2,Val3,Val4,Val5,Val6,Val7,Val8,Val9,Val10,Val11,Val12,Val13,Val14,Val15,Score,Time,Agent,AgentHeur,Move,Trial,RandTilePos
0,0,0,0,0,0,0,0,0,2,2,0,0,0,4,0,0,5.300024033,WeightedExpectimaxAgent,N/A,RIGHT,0,9
0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,4,4,5.383733034,WeightedExpectimaxAgent,N/A,DOWN,0,12
0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,8,12,3.900123835,WeightedExpectimaxAgent,N/A,RIGHT,0,14
0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,8,16,4.53395319,WeightedExpectimaxAgent,N/A,RIGHT,0,5
0,0,0,0,0,0,0,2,0,2,0,0,0,0,4,8,16,3.80114603,WeightedExpectimaxAgent,N/A,RIGHT,0,9
4,0,0,0,0,0,0,2,0,0,0,2,0,0,4,8,16,3.698791265,WeightedExpectimaxAgent,N/A,DOWN,0,0
0,0,0,0,2,0,0,0,0,0,0,4,4,0,4,8,20,3.257652998,WeightedExpectimaxAgent,N/A,RIGHT,0,4
0,0,0,2,0,0,0,2,0,0,0,4,0,0,8,8,28,3.537501097,WeightedExpectimaxAgent,N/A,DOWN,0,3
0,0,0,4,0,0,0,4,0,0,0,4,0,0,8,8,32,3.761958122,WeightedExpectimaxAgent,N/A,DOWN,0,3
0,0,0,0,0,2,0,4,0,0,0,8,0,0,8,8,40,3.586673975,WeightedExpectimaxAgent,N/A,RIGHT,0,5
0,0,0,4,0,0,2,4,0,0,0,8,0,0,0,16,56,3.376063108,WeightedExpectimaxAgent,N/A,DOWN,0,3
4,0,0,0,0,0,0,8,0,0,0,8,0,0,2,16,64,4.953720808,WeightedExpectimaxAgent,N/A,DOWN,0,0
0,2,0,0,0,0,0,0,0,0,0,16,4,0,2,16,80,4.412437677,WeightedExpectimaxAgent,N/A,DOWN,0,1
0,0,0,0,2,0,0,0,0,0,0,0,4,2,2,32,112,4.846482992,WeightedExpectimaxAgent,N/A,RIGHT,0,4
0,0,0,0,0,2,0,2,0,0,0,0,0,4,4,32,116,5.289965153,WeightedExpectimaxAgent,N/A,DOWN,0,5
0,0,0,0,0,0,0,2,0,2,0,2,0,4,4,32,116,4.378654957,WeightedExpectimaxAgent,N/A,DOWN,0,7
0,0,0,0,0,0,0,2,0,2,0,4,0,4,4,32,120,2.585756063,WeightedExpectimaxAgent,N/A,RIGHT,0,7
0,2,0,0,0,0,0,2,0,0,2,4,0,0,8,32,128,3.205806971,WeightedExpectimaxAgent,N/A,RIGHT,0,1
0,2,0,2,0,0,0,2,0,0,2,4,0,0,8,32,128,3.514365911,WeightedExpectimaxAgent,N/A,DOWN,0,1
0,0,0,0,0,0,0,4,0,0,2,4,2,2,8,32,132,3.191687107,WeightedExpectimaxAgent,N/A,RIGHT,0,12
0,0,0,0,0,0,0,4,0,2,2,4,0,4,8,32,136,3.486742973,WeightedExpectimaxAgent,N/A,RIGHT,0,9
4,0,0,0,0,0,0,4,0,0,4,4,0,4,8,32,140,3.394572973,WeightedExpectimaxAgent,N/A,DOWN,0,0
0,0,0,2,0,0,0,0,0,0,4,8,4,4,8,32,148,3.207142353,WeightedExpectimaxAgent,N/A,RIGHT,0,3
0,0,0,2,0,0,0,0,0,0,4,8,2,8,8,32,156,2.768016338,WeightedExpectimaxAgent,N/A,RIGHT,0,12
2,0,0,2,0,0,0,0,0,0,4,8,0,2,16,32,172,2.934502125,WeightedExpectimaxAgent,N/A,DOWN,0,0
0,0,2,0,0,0,0,2,0,0,4,8,2,2,16,32,172,2.689610958,WeightedExpectimaxAgent,N/A,RIGHT,0,2
0,0,0,2,0,0,0,2,2,0,4,8,0,4,16,32,176,2.279363155,WeightedExpectimaxAgent,N/A,RIGHT,0,8
0,0,0,2,0,0,0,2,2,2,4,8,0,4,16,32,176,2.769338131,WeightedExpectimaxAgent,N/A,RIGHT,0,8
