Val0,Val1,Val2,Val3,Val4,Val5,Val6,Val7,Val8,Val9,Val10,Val11,Val12,Val13,Val14,Val15,Score,Time,Agent,AgentHeur,Move,Trial,RandTilePos
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3440630435943604,WeightedExpectimaxAgent,N/A,DOWN,0,1
0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1.7618098258972168,WeightedExpectimaxAgent,N/A,RIGHT,0,1
0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,2,0,1.5460050106048584,WeightedExpectimaxAgent,N/A,DOWN,0,5
2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,1.5337440967559814,WeightedExpectimaxAgent,N/A,RIGHT,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,8,12,1.1096410751342773,WeightedExpectimaxAgent,N/A,DOWN,0,14
0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,8,12,1.2878546714782715,WeightedExpectimaxAgent,N/A,RIGHT,0,2
0,0,2,2,0,0,0,0,0,0,0,2,0,0,2,8,12,1.2893569469451904,WeightedExpectimaxAgent,N/A,UP,0,2
0,0,4,4,0,0,0,8,2,0,0,0,0,0,0,0,20,1.373777151107788,WeightedExpectimaxAgent,N/A,DOWN,0,8
0,0,0,0,0,0,0,0,0,0,0,4,2,2,4,8,20,1.2478179931640625,WeightedExpectimaxAgent,N/A,RIGHT,0,13
0,0,0,2,0,0,0,0,0,0,0,4,0,4,4,8,24,1.1736481189727783,WeightedExpectimaxAgent,N/A,DOWN,0,3
0,0,0,0,0,0,0,2,0,0,2,4,0,4,4,8,24,0.7494077682495117,WeightedExpectimaxAgent,N/A,RIGHT,0,10
0,2,0,0,0,0,0,2,0,0,2,4,0,0,8,8,32,0.9841222763061523,WeightedExpectimaxAgent,N/A,RIGHT,0,1
0,0,0,2,0,0,0,2,2,0,2,4,0,0,0,16,48,1.1745541095733643,WeightedExpectimaxAgent,N/A,DOWN,0,8
0,0,0,0,0,0,0,4,0,0,2,4,2,0,2,16,52,1.076340913772583,WeightedExpectimaxAgent,N/A,DOWN,0,10
0,0,0,0,0,2,0,0,0,0,0,8,2,0,4,16,64,0.9928739070892334,WeightedExpectimaxAgent,N/A,DOWN,0,5
0,0,0,2,0,0,0,0,0,0,0,8,2,2,4,16,64,1.0008561611175537,WeightedExpectimaxAgent,N/A,DOWN,0,3
0,0,2,0,0,0,0,2,0,0,0,8,2,2,4,16,64,0.8562939167022705,WeightedExpectimaxAgent,N/A,RIGHT,0,2
0,0,0,2,0,0,0,2,0,0,0,8,2,4,4,16,68,0.8981623649597168,WeightedExpectimaxAgent,N/A,RIGHT,0,12
0,0,0,2,0,0,0,2,2,0,0,8,0,2,8,16,76,0.9066638946533203,WeightedExpectimaxAgent,N/A,DOWN,0,8
0,0,0,0,0,0,0,4,0,0,2,8,2,2,8,16,80,0.7049641609191895,WeightedExpectimaxAgent,N/A,RIGHT,0,10
0,0,0,0,0,0,2,4,0,0,2,8,0,4,8,16,84,0.6795833110809326,WeightedExpectimaxAgent,N/A,UP,0,6
0,4,4,4,0,0,8,8,0,0,0,16,0,0,2,0,88,0.9234511852264404,WeightedExpectimaxAgent,N/A,DOWN,0,14
2,0,0,0,0,0,4,4,0,0,8,8,0,4,2,16,88,0.7261221408843994,WeightedExpectimaxAgent,N/A,RIGHT,0,0
0,0,0,2,0,0,0,8,2,0,0,16,0,4,2,16,112,0.7926599979400635,WeightedExpectimaxAgent,N/A,DOWN,0,8
0,0,0,0,2,0,0,2,0,0,0,8,2,4,2,32,144,0.8756990432739258,WeightedExpectimaxAgent,N/A,DOWN,0,4
0,0,0,0,0,0,2,2,0,0,0,8,4,4,2,32,148,0.9614658355712891,WeightedExpectimaxAgent,N/A,DOWN,0,6
0,0,0,0,0,2,0,2,0,0,0,8,4,4,4,32,152,0.9897291660308838,WeightedExpectimaxAgent,N/A,DOWN,0,5
0,0,0,0,0,2,0,2,0,2,0,8,4,4,4,32,152,0.8173201084136963,WeightedExpectimaxAgent,N/A,DOWN,0,5
0,0,0,0,0,2,0,2,0,4,0,8,4,4,4,32,156,0.7777979373931885,WeightedExpectimaxAgent,N/A,DOWN,0,5
0,0,0,2,0,0,0,2,0,2,0,8,4,8,4,32,164,0.69964599609375,WeightedExpectimaxAgent,N/A,DOWN,0,3
0,2,0,0,0,0,0,4,0,2,0,8,4,8,4,32,168,0.6757400035858154,WeightedExpectimaxAgent,N/A,RIGHT,0,1
